BRAND,PRODUCT SKU,PRODUCT NAME,Shop Name,PRODUCT LINK,Note,BUNDLE LINK,Comment,Price,Price_Bundle
Unimig,U11005K,VIPER 135,AUSTRALIA INDUSTRIAL GROUP,,,,,,
Unimig,KUMJRVM185,VIPER 185,AUSTRALIA INDUSTRIAL GROUP,https://www.australiaindustrialgroup.com.au/product-page/viper-mig-185?srsltid=AfmBOoqoTYTMIrSGqDQswMDMv-fveYcZNUA0yQzXAzLQQUw447pmFjUX,,,,938.99,
Unimig,U11008K,RAZOR MULTI 220,AUSTRALIA INDUSTRIAL GROUP,,,,,,
Unimig,U11009K,RAZOR MULTI 250,AUSTRALIA INDUSTRIAL GROUP,,,,,,
Unimig,U11010K,RAZOR COMPACT 250,AUSTRALIA INDUSTRIAL GROUP,,,,,,
Unimig,KUMJR350K-SG,RAZOR COMPACT 350 (OLD),AUSTRALIA INDUSTRIAL GROUP,https://www.australiaindustrialgroup.com.au/product-page/unimig-350-mig-tig-mma-compact-kumjr350k-sg?srsltid=AfmBOoqLylfyxULnRXAX8YG16lQHgQe0_N2ybLqcZqc6Kr1JEA_OTGHo,,,,3597.00,
Unimig,KUMJR250SWF,RAZOR 250 SWF,AUSTRALIA INDUSTRIAL GROUP,https://www.australiaindustrialgroup.com.au/product-page/unimig-razorweld-250-swf-mig-tig-mma-welder,,,,4898.99,
Unimig,KUMJR350SWF,RAZOR 350 SWF,AUSTRALIA INDUSTRIAL GROUP,https://www.australiaindustrialgroup.com.au/product-page/unimig-razorweld-350-swf-mig-tig-mma-welding-machine?srsltid=AfmBOoqO89zLAkcrnRKpfI_TFkK49f6j-sOXLRpKv2uJGyrWsfQfrpK1,,,,5625.00,
Unimig,KUMJRRW500SWF,RAZOR 500 SWF,AUSTRALIA INDUSTRIAL GROUP,https://www.australiaindustrialgroup.com.au/product-page/unimig-razorweld-500-swf-mig-tig-mma?srsltid=AfmBOoqYWcnVzSkb2DrNEi-ua3sAHo2iET5hlb3CYyWaEyo-OHjEP0Ua,,,,6019.00,
Unimig,U12004,RAZOR TIG 200 ACDC WATER COOLER,AUSTRALIA INDUSTRIAL GROUP,,,,,,
Unimig,NATIONAL WELDING IS CHEAPER,RAZOR TIG 200 ACDC,AUSTRALIA INDUSTRIAL GROUP,https://www.alphaweld.com.au/product/21721-unimig-razor-tig-200-ac-dc-welder,,,,,
Unimig,U12003K,RAZOR TIG 220 DC,AUSTRALIA INDUSTRIAL GROUP,,,,,,
Unimig,KUMJRRW320ACDC,RAZOR 320 ACDC,AUSTRALIA INDUSTRIAL GROUP,,,,,,
Unimig,U31006,VIPER ARC 140,AUSTRALIA INDUSTRIAL GROUP,https://www.australiaindustrialgroup.com.au/product-page/unimig-viper-arc-160?srsltid=AfmBOorf1nxTGFycSzlmrj58RsrCqpCQSAXUxFz6tv22lVoEt-ie1ar0,,,,284.00,
Unimig,U13002K,RAZOR ARC 160 PFC,AUSTRALIA INDUSTRIAL GROUP,,,,,,
Unimig,KUMJRRW180CA,NOT ANALYSED SUBSEQUENTLY,AUSTRALIA INDUSTRIAL GROUP,,,,,,
Unimig,U13005,NEW RAZOR ARC 180,AUSTRALIA INDUSTRIAL GROUP,,,,,,
Unimig,U13003K,RAZOR ARC 200 PFC,AUSTRALIA INDUSTRIAL GROUP,,,,,,
Unimig,U13004,RAZOR ARC 140,AUSTRALIA INDUSTRIAL GROUP,,,,,,
Unimig,U14005K,VIPER CUT 30 MK 2,AUSTRALIA INDUSTRIAL GROUP,,,,,,
Unimig,U14001K,RAZOR CUT 40,AUSTRALIA INDUSTRIAL GROUP,,,,,,
Unimig,U14006K,RAZOR CUT 45,AUSTRALIA INDUSTRIAL GROUP,,,,,,
Unimig,U14007,RAZOR CUT 45 PLASMA CUTTER AIR COMPRESSOR,AUSTRALIA INDUSTRIAL GROUP,,,,,,
Unimig,KUPJRRW80,RAZOR CUT 80,AUSTRALIA INDUSTRIAL GROUP,https://www.australiaindustrialgroup.com.au/product-page/unimig-inverter-plasma-razor-cut-80?srsltid=AfmBOopBteJGyxt1CoNoKGjkSiqgoSl5Ea66h4qMmPBP6RqqTXfZ_E0i,,,,2215.00,
Unimig,U14004K,RAZOR CUT 120,AUSTRALIA INDUSTRIAL GROUP,,,,,,
Unimig,U14004K,RAZOR CUT 160,AUSTRALIA INDUSTRIAL GROUP,,,,,,
Unimig,KUM27,WORKSHOP 270,AUSTRALIA INDUSTRIAL GROUP,,,,,,
Unimig,KUM270SWF,WORKSHOP 270 SWF,AUSTRALIA INDUSTRIAL GROUP,,,,,,
Unimig,KUM390,WORKSHOP 390,AUSTRALIA INDUSTRIAL GROUP,,,,,,
Unimig,KUM390SWF,WORKSHOP 390 SWF,AUSTRALIA INDUSTRIAL GROUP,,,,,,
KUM390S/D,WORKSHOP 390 SWF DUAL VOLTAGE,WORKSHOP 390 SWF,AUSTRALIA INDUSTRIAL GROUP,,,,,,
KUM390S/D,KUM425SWF,WORKSHOP 425 SWF,AUSTRALIA INDUSTRIAL GROUP,https://www.australiaindustrialgroup.com.au/product-page/kum425swf?srsltid=AfmBOopiaLNxnGlYMHwVOPedwvdDwNPKLw79WdC-WTwIGC7UirvddnPd,,,,4400.00,
KUM390S/D,U11119,EVOLVE MULTI 400,AUSTRALIA INDUSTRIAL GROUP,,,,,,
