BRAND,PRODUCT SKU,PRODUCT NAME,Shop Name,PRODUCT LINK,Note,BUNDLE LINK,Comment,Price,Price_Bundle
Unimig,U11005K,VIPER 135,TOOLS WAREHOUSE,https://toolswarehouse.com.au/products/unimig-u11005k-viper-multi-135-3-in-1-mig-tig-stick-welder?currency=AUD&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=11206b67ce4d&utm_source=google&utm_medium=shopping&utm_campaign=20718534217&utm_content=&utm_term=&utm_id={productid}&gad_source=1&gclid=Cj0KCQiAhbi8BhDIARIsAJLOlucj5UWqKlRn66LsmCIJyP05YYyQK0jxtWbQu5Nyz7pDL-NEY_cZl38aAjXiEALw_wcB,,,,$399.00,
Unimig,U11006K,VIPER 165,TOOLS WAREHOUSE,https://toolswarehouse.com.au/products/unimig-u11006k-3-in-1-viper-multi-165-synergic-mig-tig-stick-welder?srsltid=AfmBOoqtDeoa3VLCm1GlTP70lDsQySxVW92GAffxs-MtYeeScuWaz95j,,,,$699.00,
Unimig,KUMJRVM185,VIPER 185,TOOLS WAREHOUSE,https://toolswarehouse.com.au/products/unimig-kumjrvm185-viper-185-mig-tig-stick-inverter-welder?srsltid=AfmBOopS-8q_TA5xhCjQbaPTbBXndGSCjjb1QXbwoaUeaxJDfpfXowdj,,,,$899.00,
Unimig,U11011,VIPER 195,TOOLS WAREHOUSE,https://toolswarehouse.com.au/products/unimig-u11011-viper-multi-195-max-welder?srsltid=AfmBOoodNfT0nYML7d8O9xy2iP2rl3LBpjxBjdrxLCUg7YRvlSXaGqRV,,,,"$1,199.00",
Unimig,U11003K,RAZOR 200 PULSE,TOOLS WAREHOUSE,https://toolswarehouse.com.au/products/unimig-u11003k-razor-200-pulse-mig-tig-stick-welder-kit?srsltid=AfmBOoq9jAAMYl7sL0kdVb2vISrWs4zvKzM7WRJhJGlgqlpS0aFunrkd,,,,"$2,465.20",
Unimig,U11004K,RAZOR 230,TOOLS WAREHOUSE,https://toolswarehouse.com.au/products/unimig-u11004k-razor-multi-230-ac-dc-mig-tig-stick-welder?srsltid=AfmBOorSa-VPTW9TeQlsiT6tunUNMNWMiHxrBvGwrnyA20Iui27k5lSY,2x links,https://toolswarehouse.com.au/products/unimig-u11004k-razor-multi-230-ac-dc-mig-tig-stick-welder?utm_source=google&utm_medium=shopping&utm_campaign=22017532287&utm_content=&utm_term=&utm_id={productid}&gad_source=1&gclid=Cj0KCQiAhbi8BhDIARIsAJLOlueILE5lZJYikBW3kocZtjWW6wnX3XHDO9SgdW-eh9ACtrQFjT7lL38aAg7hEALw_wcB,,"$2,395.00","$2,395.00"
Unimig,U11007K,RAZOR MULTI 175,TOOLS WAREHOUSE,https://toolswarehouse.com.au/products/unimig-u11007k-razor-multi-175-welder?srsltid=AfmBOooif67_ikhaJM6UBieJVJRMR8fnssCK0pkMTaiIjhyrsbjWrqPV,,,,"$1,299.00",
Unimig,U11012,RAZOR MULTI 200 PFC,TOOLS WAREHOUSE,https://toolswarehouse.com.au/products/unimig-u13003k-razor-arc-200-pfc-welder?srsltid=AfmBOooj-Ofzcq5w4r2dLF7-RtwXq5R0Bbole2LmvCNuo-qUj9uEXPk6,,,,$849.00,
Unimig,U11008K,RAZOR MULTI 220,TOOLS WAREHOUSE,https://toolswarehouse.com.au/products/unimig-u11008k-razor-multi-220-welder?utm_source=google&utm_medium=shopping&utm_campaign=22017532287&utm_content=&utm_term=&utm_id={productid}&gad_source=1&gclid=Cj0KCQiAqL28BhCrARIsACYJvkfZ4S17a5fe3So88xzkQTbxlC8Vrb5W3R18Ll6ahU0YR6r4aeW-5GQaAoHsEALw_wcB,2x links,https://toolswarehouse.com.au/products/unimig-u11008k-razor-multi-220-welder?utm_source=google&utm_medium=shopping&utm_campaign=22017532287&utm_content=&utm_term=&utm_id={productid}&gad_source=1&gclid=Cj0KCQiAqL28BhCrARIsACYJvkfZ4S17a5fe3So88xzkQTbxlC8Vrb5W3R18Ll6ahU0YR6r4aeW-5GQaAoHsEALw_wcB, ,"$1,599.00","$1,599.00"
Unimig,U11009K,RAZOR MULTI 250,TOOLS WAREHOUSE,https://toolswarehouse.com.au/products/unimig-u11009k-razor-multi-250-welder?srsltid=AfmBOoqxGotNyIOkjxW2JGwxs7SDCMV6LKY7Vp-tbKQ3cTkcXkQ_JpWH,,,,"$2,199.00",
