BRAND,PRODUCT SKU,PRODUCT NAME,Shop Name,PRODUCT LINK,Note,BUNDLE LINK,Comment,Price,Price_Bundle
Unimig,U11005K,VIPER 135,WA INDUSTRIAL SUPPLIES WEBSITE,https://www.waindustrialsupplies.net/product/viper-multi-135-mig-tig-stick-welder/301?cp=true&sa=false&sbp=false&q=true,,,,,
Unimig,U11006K,VIPER 165,WA INDUSTRIAL SUPPLIES WEBSITE,https://www.waindustrialsupplies.net/product/viper-multi-165-mig-tig-stick-welder/292?cp=true&sa=false&sbp=false&q=true,,,,,
Unimig,KUMJRVM185,VIPER 185,WA INDUSTRIAL SUPPLIES WEBSITE,https://www.waindustrialsupplies.net/product/viper-185-mig-tig-stick-welder/295,,,,,
Unimig,U11011,VIPER 195,WA INDUSTRIAL SUPPLIES WEBSITE,https://www.waindustrialsupplies.net/product/viper-multi-195-max-mig-tig-stick-welder/283?cp=true&sa=false&sbp=false&q=true ,,,,,
Unimig,U11003K,RAZOR 200 PULSE,WA INDUSTRIAL SUPPLIES WEBSITE,https://www.waindustrialsupplies.net/product/razor-200-pulse-mig-tig-stick-welder/284 ,,,,,
Unimig,U11004K,RAZOR 230,WA INDUSTRIAL SUPPLIES WEBSITE,https://www.waindustrialsupplies.net/product/razor-multi-230-ac-dc-mig-tig-stick-welder/282,,,,,
Unimig,U11007K,RAZOR MULTI 175,WA INDUSTRIAL SUPPLIES WEBSITE,https://www.waindustrialsupplies.net/product/razor-multi-175-mig-tig-stick-welder/296,,,,,
Unimig,U11012,RAZOR MULTI 200 PFC,WA INDUSTRIAL SUPPLIES WEBSITE,,,,,,
Unimig,U11008K,RAZOR MULTI 220,WA INDUSTRIAL SUPPLIES WEBSITE,https://www.waindustrialsupplies.net/product/razor-multi-220-mig-tig-stick-welder/286?cp=true&sa=false&sbp=false&q=true,,,,,
Unimig,U11009K,RAZOR MULTI 250,WA INDUSTRIAL SUPPLIES WEBSITE,https://www.waindustrialsupplies.net/product/razor-multi-250-mig-tig-stick-welder/288?cp=true&sa=false&sbp=false&q=true,,,,,
Unimig,U11010K,RAZOR COMPACT 250,WA INDUSTRIAL SUPPLIES WEBSITE,,,,,,
Unimig,KUMJR350K-SG,RAZOR COMPACT 350 (OLD),WA INDUSTRIAL SUPPLIES WEBSITE,https://www.waindustrialsupplies.net/product/razor-350-compact-mig-tig-stick-welder/289,, ,,,
Unimig,KUMJR250SWF,RAZOR 250 SWF,WA INDUSTRIAL SUPPLIES WEBSITE,https://www.waindustrialsupplies.net/product/razor-250-swf-mig-tig-stick-welder/375,,,,,
