BRAND,PRODUCT SKU,PRODUCT NAME,Shop Name,PRODUCT LINK,Note,BUNDLE LINK,Comment,Price,Price_Bundle
Unimig,KUMJRRW180CA,DISCONTINUED?,HAMPDON EBAY,,,,,,
KUM390S/D,U11119,EVOLVE MULTI 400,METRO WELDER SERVICE,,,,,,
KUM390S/D,U11119,EVOLVE MULTI 400,WELDCONNECT,,,,,,
KUM390S/D,U11119,EVOLVE MULTI 400,GENTRONICS,,,,,,
KUM390S/D,U11119,EVOLVE MULTI 400,BILBA EBAY,,,,,,
KUM390S/D,U11119,EVOLVE MULTI 400,NATIONAL WELDING EBAY,,,,,,
KUM390S/D,U11119,EVOLVE MULTI 400,WA INDUSTRIAL SUPPLIES EBAY,https://www.ebay.com.au/itm/186894851044?_skw=Evolve+Multi+400&itmmeta=01JJ6PFFP0MZQSA0GPP9APZZWK&hash=item2b83cd1be4:g:Wb4AAOSwpSFnh2gg&itmprp=enc%3AAQAJAAAA8HoV3kP08IDx%2BKZ9MfhVJKn69wTRPwbWQrK1YZrLFkHFGfzK%2F0QEZUdbtPWGIgoJ9GNiqrrVpn6vY9nhL1eUWihBqARhBbRvrdiPVXBvcoG%2Bg51xVzqLZUyu%2BJEfwTJlwEX2%2BCupWNfpmsXTljZ%2BE5E5A456mMQpH5%2BtY9SG0r2p7clOemWq4%2FhGM2LnFoWpnqlRELZAsTqQp1p1Abs2%2FxYS%2BlREvRVqPBuF8Bo1hHtXb1Jr81OeIMdBEvrYHzjzgjWJALIJgfUZQ5upxiUcQinu6lML%2F9cAyB5ePtiu3fy6z3qfOQAm8RaFnCYXR2IA6A%3D%3D%7Ctkp%3ABk9SR5D7vdaRZQ, ,https://www.ebay.com.au/itm/186906038061?_skw=Evolve+Multi+400&itmmeta=01JJ6PFFP0Y8VDN5GPBR71DCNQ&hash=item2b8477cf2d:g:7rcAAOSw-21nj1KU&itmprp=enc%3AAQAJAAAA8HoV3kP08IDx%2BKZ9MfhVJKlSrHEcc77qFkyMFnhM0cwOvc3%2Fe1WXnspGR1SMMFfW%2BXW1yEnULBMxjaSUZQ2YRZpAwAviThqvKgEL3adeuQIBPqO0CACZaYNqFnru0b%2FUJ75Zvc3ybbgjrQ2yXFXaMrhn9hdsai4e4Mqz%2FxfTlUNrAiYB9mHjxVnv52JQ2NMwyMFXcL%2FVXVW1fVjvkCvIHhkgkWOJYqBTUIHqABeaC6T3iRa%2BxLCW3Bsp%2BsNsEzqnM%2FA4OV9W%2Bbt8wmtQ1%2BUITCMiuyHKXu6iSDA1CC7nd1vDKC45SAzp%2FkjYyNod4hqB3w%3D%3D%7Ctkp%3ABk9SR5D7vdaRZQ,(with wire feeder),"AU $9,499.00","AU $12,499.00"
KUM390S/D,U11119,EVOLVE MULTI 400,BILBA,,,,,,
KUM390S/D,U11119,EVOLVE MULTI 400,ELECTROWELD WEBSITE,,,,,,
KUM390S/D,U11119,EVOLVE MULTI 400,ELECTROWELD EBAY,https://www.ebay.com.au/itm/276821565411?_skw=Evolve+Multi+400&itmmeta=01JJ6PFFP0MHRDW21J4JBSYK9H&hash=item4073d9dfe3:g:nEsAAOSw9QtnjFtC:sc:AU_RegularParcelWithTrackingAndSignature!2190!AU!-1&itmprp=enc%3AAQAJAAAA8HoV3kP08IDx%2BKZ9MfhVJKmeT0nXErlyGhLf%2FppD06KQtclC41dD0jnRzrftPuQMNJfWkjzfUIeuAUpB9Uw8dS%2F8ZTplxoJT%2BuGezJrMfpWkuCvNkuAqTj4MtQYkJ7ErD%2F9Ku1IrTCjQLRSvOsmbelHrC3y82LNUqFg0embSZreBxJu9xAp00G8vUbfYh3GsbMnOizexNuOJoSCTiuOzYyVsoZnNxvLVPZOEHMskoIemdUY9Y21DnA%2F1GEc51%2BQd39H0K7WI8Fa3LsBEeEFMEXNOhMHkCA7pXN0x4xEFOCx7sPIb%2BUKE%2F5m3m3IfWamicw%3D%3D%7Ctkp%3ABk9SR5D7vdaRZQ,,,,"AU $9,499.00",
KUM390S/D,U11119,EVOLVE MULTI 400,WELD.COM.AU,,,,,,
KUM390S/D,U11119,EVOLVE MULTI 400,HAMPDON EBAY,,,,,,
Unimig,U13005,NEW RAZOR ARC 180,METRO WELDER SERVICE,https://metweld.com.au/razor-arc-180-welder/,,,,575.00,
Unimig,U13005,NEW RAZOR ARC 180,ELECTROWELD WEBSITE,https://www.electroweld.com.au/product/unimig-razor-arc-180-welder-tig-stick-mma-15a-plug-invertor-dc-razorweld-u13005/,,,,549.00,
Unimig,U13005,NEW RAZOR ARC 180,GENTRONICS,,,,,,
Unimig,U13005,NEW RAZOR ARC 180,BILBA EBAY,,,,,,
Unimig,U13005,NEW RAZOR ARC 180,WELDCONNECT,https://www.weldconnect.com.au/razor-arc-180-stick-welder,,,,553.64,
Unimig,U13005,NEW RAZOR ARC 180,HAMPDON EBAY,,,,,,
