HELMET SKU,PRODUCT NAME,Shop Name,PRODUCT LINK,BRAND,Price,Helmet_Price_Bundle
,2X LINKS,ROBSON'S TOOL KING,https://www.toolking.com.au/unimig-trade-series-welding-helmet-dragon-u21027/,,349.00,
,CARNAGE HELMET,TOTAL TOOLS,https://www.totaltools.com.au/200640-unimig-trade-series-helmet-carnage-u21021,,249,
,CARNAGE HELMET,HARE AND FORBES,,,,
,CARNAGE HELMET,WELDCONNECT,https://www.weldconnect.com.au/welding-helmet-trade-series-carnage,,317.27,
,CARNAGE HELMET,METRO WELDER SERVICE,https://metweld.com.au/unimig-trade-series-welding-helmet-carnage/,,264.00,
,CARNAGE HELMET,ALPHAWELD,,,,
,CARNAGE HELMET,VEK TOOLS,https://www.vektools.com.au/unimig-auto-darkening-welding-helmet-tradie-series-carnage.html,,"<span class=""price"">$349.00</span>",
,CARNAGE HELMET,SYDNEY TOOLS,https://sydneytools.com.au/product/unimig-u21021-trade-series-welding-helmet-carnage,,$249.00,
,CARNAGE HELMET,TRADE TOOLS,https://www.tradetools.com/unimig-trade-series-auto-welding-helmet-carnage-u21021,,258.00,
,CARNAGE HELMET,HAMPDON WEBSITE,,,,
,CARNAGE HELMET,AUSTRALIA INDUSTRIAL GROUP,,,,
,CARNAGE HELMET,TKD,https://toolkitdepot.com.au/unimig-welding-helmet-trade-series-carnage-u21021/,,249.00,
,CARNAGE HELMET,GENTRONICS,,,,
,CARNAGE HELMET,WA INDUSTRIAL SUPPLIES WEBSITE,,,,
,CARNAGE HELMET,TOOLS WAREHOUSE,https://toolswarehouse.com.au/products/unimig-u21021-carnage-trade-series-welding-helmet,,249.00,
,CARNAGE HELMET,PRIME SUPPLIES,,,,
,CARNAGE HELMET,ELECTROWELD WEBSITE,https://www.electroweld.com.au/product/unimig-trade-carnage-auto-darkening-welding-helmet-rwx8000-replacement-u21021/,,248.00,
,CARNAGE HELMET,SUPERCHEAP AUTO,https://www.supercheapauto.com.au/p/unimig-trade-series-helmet---carnage/SPO9967486.html,,249.99,
,CORE SERIES BLACK HELMET,SYDNEY TOOLS,https://sydneytools.com.au/product/unimig-u21031-core-series-welding-helmet-black,,$149.00,
,CORE SERIES BLACK HELMET,HAMPDON WEBSITE,,,,
,CORE SERIES BLACK HELMET,HARE AND FORBES,,,,
,CORE SERIES BLACK HELMET,SUPERCHEAP AUTO,,,,
,CORE SERIES BLACK HELMET,WELDCONNECT,https://www.weldconnect.com.au/core-series-welding-helmet-black,,143.6,
,CORE SERIES BLACK HELMET,TKD,,,,
,CORE SERIES BLACK HELMET,ELECTROWELD WEBSITE,https://www.electroweld.com.au/product/unimig-core-series-welding-helmet-black/,,149.00,
,CORE SERIES BLACK HELMET,TOOLS WAREHOUSE,https://toolswarehouse.com.au/products/unimig-u21031-black-core-series-welding-helmet?variant=44299224023232,,149.00,
,CORE SERIES BLACK HELMET,WELDCONNECT,https://www.weldconnect.com.au/core-series-welding-helmet-black,,143.6,
,CORE SERIES BLACK HELMET,PRIME SUPPLIES,,,,
,CORE SERIES BLACK HELMET,TOTAL TOOLS,https://www.totaltools.com.au/208643-unimig-core-series-welding-helmet-black-u21031,,149,
,CORE SERIES BLACK HELMET,METRO WELDER SERVICE,http://metweld.com.au/unimig-core-series-welding-helmet/,,,
,CORE SERIES BLACK HELMET,ALPHAWELD,,,,
,CORE SERIES BLACK HELMET,WA INDUSTRIAL SUPPLIES WEBSITE,,,,
,CORE SERIES BLACK HELMET,AUSTRALIA INDUSTRIAL GROUP,,,,
,CORE SERIES BLACK HELMET,TRADE TOOLS,,,,
,DEMON HELMET,METRO WELDER SERVICE,https://metweld.com.au/unimig-professional-series-welding-helmet-demon/,,319.00,
,DEMON HELMET,TRADE TOOLS,https://www.tradetools.com/unimig-professional-series-auto-welding-helmet-demon-u21018,,318.00,
,DEMON HELMET,HAMPDON WEBSITE,,,,
,DEMON HELMET,HARE AND FORBES,,,,
,DEMON HELMET,TKD,https://toolkitdepot.com.au/unimig-welding-helmet-professional-series-demon-u21018/,,299.00,
,DEMON HELMET,VEK TOOLS,https://www.vektools.com.au/unimig-auto-darkening-welding-helmet-professional-series-demon.html,,"<span class=""price"">$399.00</span>",
,DEMON HELMET,ALPHAWELD,,,,
,DEMON HELMET,ELECTROWELD WEBSITE,https://www.electroweld.com.au/product/unimig-professional-demon-automatic-darkening-welding-helmet-mig-tig-mma-u21018/,,299.00,
,DEMON HELMET,SYDNEY TOOLS,https://sydneytools.com.au/product/unimig-u21018-professional-series-welding-helmet-demon,,$298.00,
,DEMON HELMET,PRIME SUPPLIES,,,,
