HELMET SKU,HELMET NAME,Shop Name,PRODUCT LINK,BRAND,Helmet_Price,Helmet_Price_Bundle
,ORIGIN SERIES HELMET,ALPHAWELD,,,,
,UNKNOWN,ALPHAWELD,,,,
,REVENANT HELMET,ALPHAWELD,,,,
,UNKNOWN,ALPHAWELD,,,,
,CORE SERIES BLACK HELMET,ALPHAWELD,,,,
,UNKNOWN,ALPHAWELD,,,,
,IMPACT SERIES CHAOS,ALPHAWELD,,,,
,UNKNOWN,ALPHAWELD,https://www.alphaweld.com.au/product/22724-promax-350-welding-helmet-aussie-graphic,,,
,CARNAGE HELMET,ALPHAWELD,,,,
,UNKNOWN,ALPHAWELD,,,,
,TRADE SERIES BLACK HELMET,ALPHAWELD,,,,
,UNKNOWN,ALPHAWELD,https://www.alphaweld.com.au/product/16732-promax-500-welding-helmet-black-stealth,,292.20,
,TOXIC HELMET,ALPHAWELD,,,,
,UNKNOWN,ALPHAWELD,,,,
,TRADE SERIES DRAGON,ALPHAWELD,,,,
,UNKNOWN,ALPHAWELD,https://www.alphaweld.com.au/product/22055-promax-500-welding-helmet-revhead-graphic,,292.20,
,SAMURAI HELMET,ALPHAWELD,,,,
,UNKNOWN,ALPHAWELD,,,,
,DEMON HELMET,ALPHAWELD,,,,
,UNKNOWN,ALPHAWELD,,,,
,PROFESSIONAL BLACK,ALPHAWELD,,,,
,UNKNOWN,ALPHAWELD,https://www.alphaweld.com.au/product/22460-promax-680-welding-helmet-blue-retro-graphic,,575.00,
,PAPR UNIMIG (U21014K),ALPHAWELD,,,,
,UNKNOWN,ALPHAWELD,https://www.alphaweld.com.au/product/22461-promax-680-welding-helmet-matte-blue,,575.00,
,UNKNOWN,ALPHAWELD,,,,
,UNKNOWN,ALPHAWELD,,,,
