HELMET SKU,HELMET NAME,Shop Name,PRODUCT LINK,BRAND,Helmet_Price,Helmet_Price_Bundle
,ORIGIN SERIES HELMET,AUSTRALIA INDUSTRIAL GROUP,,,,
,UNKNOWN,AUSTRALIA INDUSTRIAL GROUP,,,,
,REVENANT HELMET,AUSTRALIA INDUSTRIAL GROUP,,,,
,UNKNOWN,AUSTRALIA INDUSTRIAL GROUP,,,,
,CORE SERIES BLACK HELMET,AUSTRALIA INDUSTRIAL GROUP,,,,
,UNKNOWN,AUSTRALIA INDUSTRIAL GROUP,,,,
,IMPACT SERIES CHAOS,AUSTRALIA INDUSTRIAL GROUP,,,,
,UNKNOWN,AUSTRALIA INDUSTRIAL GROUP,,,,
,CARNAGE HELMET,AUSTRALIA INDUSTRIAL GROUP,,,,
,UNKNOWN,AUSTRALIA INDUSTRIAL GROUP,,,,
,TRADE SERIES BLACK HELMET,AUSTRALIA INDUSTRIAL GROUP,,,,
,UNKNOWN,AUSTRALIA INDUSTRIAL GROUP,,,,
,TOXIC HELMET,AUSTRALIA INDUSTRIAL GROUP,,,,
,UNKNOWN,AUSTRALIA INDUSTRIAL GROUP,,,,
,TRADE SERIES DRAGON,AUSTRALIA INDUSTRIAL GROUP,,,,
,UNKNOWN,AUSTRALIA INDUSTRIAL GROUP,,,,
,SAMURAI HELMET,AUSTRALIA INDUSTRIAL GROUP,,,,
,UNKNOWN,AUSTRALIA INDUSTRIAL GROUP,,,,
,DEMON HELMET,AUSTRALIA INDUSTRIAL GROUP,,,,
,UNKNOWN,AUSTRALIA INDUSTRIAL GROUP,,,,
,PROFESSIONAL BLACK,AUSTRALIA INDUSTRIAL GROUP,,,,
,UNKNOWN,AUSTRALIA INDUSTRIAL GROUP,,,,
,PAPR UNIMIG (U21014K),AUSTRALIA INDUSTRIAL GROUP,,,,
,UNKNOWN,AUSTRALIA INDUSTRIAL GROUP,,,,
,UNKNOWN,AUSTRALIA INDUSTRIAL GROUP,,,,
,UNKNOWN,AUSTRALIA INDUSTRIAL GROUP,,,,
