HELMET SKU,HELMET NAME,Shop Name,PRODUCT LINK,BRAND,Helmet_Price,Helmet_Price_Bundle
,REVENANT HELMET,ELECTROWELD WEBSITE,https://www.electroweld.com.au/product/unimig-core-revenant-welding-helmet-automatic-darkening-mig-tig-4-arc-u21032/,,149.00,
,PROMAX 180,ELECTROWELD WEBSITE,https://www.electroweld.com.au/product/weldclass-promax-180-welding-helmet-auto-darkening-black-mig-stick-mma-wc-05164/,,79.95,
,CORE SERIES BLACK HELMET,ELECTROWELD WEBSITE,https://www.electroweld.com.au/product/unimig-core-series-welding-helmet-black/,,149.00,
,PROMAX 200,ELECTROWELD WEBSITE,https://www.electroweld.com.au/product/weldclass-promax-200-welding-helmet-auto-darkening-mig-stick-slate-blue-wc-05311/,,129.95,
,IMPACT SERIES CHAOS,ELECTROWELD WEBSITE,https://www.electroweld.com.au/product/unimig-impact-series-chaos-welding-helmet-automatic-darkening-mig-4-arc-u21034/,,187.95,
,PROMAX 350 AUS,ELECTROWELD WEBSITE,,,,
,CARNAGE HELMET,ELECTROWELD WEBSITE,https://www.electroweld.com.au/product/unimig-trade-carnage-auto-darkening-welding-helmet-rwx8000-replacement-u21021/,,248.00,
,PROMAX 350 BLUE,ELECTROWELD WEBSITE,https://www.electroweld.com.au/product/weldclass-promax-350-blue-welding-helmet-automatic-darkening-mig-tig-wc05313/,,149.95,
,TRADE SERIES BLACK HELMET,ELECTROWELD WEBSITE,https://www.electroweld.com.au/product/unimig-trade-black-auto-darkening-welding-helmet-rwx8000-replacement-u21020/,,239.00,
,PROMAX 500 BLACK,ELECTROWELD WEBSITE,https://www.electroweld.com.au/product/weldclass-promax-500-black-stealth-welding-helmet-automatic-darkening-wc-05317/,,199.00,
,TOXIC HELMET,ELECTROWELD WEBSITE,https://www.electroweld.com.au/product/unimig-toxic-automatic-welding-helmet-umtwh/,,114.95,
,PROMAX 500 WELDWOLF,ELECTROWELD WEBSITE,https://www.electroweld.com.au/product/weldclass-promax-500-weldwolf-welding-helmet-auto-darkening-mig-tig-wc-05318/,,199.00,
,TRADE SERIES DRAGON,ELECTROWELD WEBSITE,https://www.electroweld.com.au/product/unimig-trade-series-arc-auto-darkening-filter-welding-helmet-dragon-u21027/,,249.00,
,PROMAX 500 REVHEAD,ELECTROWELD WEBSITE,https://www.electroweld.com.au/product/weldclass-promax-500-revhead-graphic-welding-helmet-automatic-darkening-wc-05319/,,189.00,
,SAMURAI HELMET,ELECTROWELD WEBSITE,https://www.electroweld.com.au/product/unimig-professional-series-samurai-auto-darkening-welding-helmet-mig-tig-u21019/,,299.00,
,PROMAX 600,ELECTROWELD WEBSITE,,,,
,DEMON HELMET,ELECTROWELD WEBSITE,https://www.electroweld.com.au/product/unimig-professional-demon-automatic-darkening-welding-helmet-mig-tig-mma-u21018/,,299.00,
,PROMAX 650,ELECTROWELD WEBSITE,https://www.electroweld.com.au/product/weldclass-promax-650-welding-helmet-auto-darkening-lens-mig-tig-stick-wc-05343/,,259.00,
,PROFESSIONAL BLACK,ELECTROWELD WEBSITE,https://www.electroweld.com.au/product/unimig-professional-black-auto-darkening-welding-helmet-lens-mig-tig-mma-u21015/,,299.00,
,PROMAX 680 SCRATCHED,ELECTROWELD WEBSITE,https://www.electroweld.com.au/product/weldclass-promax-680-welding-helmet-lens-kit-mig-tig-auto-blue-graphic-wc-05345/,,299.00,
,PAPR UNIMIG (U21014K),ELECTROWELD WEBSITE,https://www.electroweld.com.au/product/unimig-powered-air-purifying-welding-helmet-respirator-mig-tig-papr-u21014k/,,"1,049.00",
,PROMAX 680 BLUE,ELECTROWELD WEBSITE,https://www.electroweld.com.au/product/weldclass-promax-680-welding-helmet-lens-kit-mig-tig-auto-blue-matte-wc-05344/,,299.00,
,PROMAX 680R,ELECTROWELD WEBSITE,https://www.electroweld.com.au/product/weldclass-promax-680r-welding-helmet-with-papr-r50-air-respirator-wc-06700/,,889.00,
,PROMAX 850R,ELECTROWELD WEBSITE,https://www.electroweld.com.au/product/weldclass-promax-850r-welding-helmet-with-papr-r50-air-respirator-wc-06702/,,"1,130.00",
