HELMET SKU,HELMET NAME,Shop Name,PRODUCT LINK,BRAND,Helmet_Price,Helmet_Price_Bundle
,UNKNOWN,GASWELD TOOLS,,,,
,UNKNOWN,GASWELD TOOLS,,,,
,UNKNOWN,GASWELD TOOLS,https://www.gasweld.com.au/unimig-u21032-core-series-welding-helmet-revenant,,149.00,
,UNKNOWN,GASWELD TOOLS,,,,
,UNKNOWN,GASWELD TOOLS,https://www.gasweld.com.au/unimig-u21031-core-series-welding-helmet-black,,149.00,
,UNKNOWN,GASWELD TOOLS,,,,
,UNKNOWN,GASWELD TOOLS,,,,
,UNKNOWN,GASWELD TOOLS,,,,
,UNKNOWN,GASWELD TOOLS,,,,
,UNKNOWN,GASWELD TOOLS,,,,
,UNKNOWN,GASWELD TOOLS,https://www.gasweld.com.au/unimig-u21020-trade-series-welding-helmet-black,,249.00,
,UNKNOWN,GASWELD TOOLS,,,,
,UNKNOWN,GASWELD TOOLS,https://www.gasweld.com.au/unimig-umtwh-toxic-professional-automatic-welding-helmet,,299.00,
,UNKNOWN,GASWELD TOOLS,,,,
,UNKNOWN,GASWELD TOOLS,https://www.gasweld.com.au/unimig-u21027-trade-series-welding-helmet-dragon,,249.00,
,UNKNOWN,GASWELD TOOLS,,,,
,UNKNOWN,GASWELD TOOLS,https://www.gasweld.com.au/unimig-u21019-professional-series-welding-helmet-samurai,,299.00,
,UNKNOWN,GASWELD TOOLS,,,,
,UNKNOWN,GASWELD TOOLS,https://www.gasweld.com.au/unimig-u21018-professional-series-welding-helmet-demon,,299.00,
,UNKNOWN,GASWELD TOOLS,,,,
,UNKNOWN,GASWELD TOOLS,https://www.gasweld.com.au/unimig-u21015-professional-series-welding-helmet-black,,299.00,
,UNKNOWN,GASWELD TOOLS,,,,
,UNKNOWN,GASWELD TOOLS,https://www.gasweld.com.au/unimig-u21014k-papr-powered-air-purifying-respirator-black,,999.00,
,UNKNOWN,GASWELD TOOLS,,,,
,UNKNOWN,GASWELD TOOLS,,,,
,UNKNOWN,GASWELD TOOLS,,,,
