HELMET SKU,HELMET NAME,Shop Name,PRODUCT LINK,BRAND,Helmet_Price,Helmet_Price_Bundle
,ORIGIN SERIES HELMET,GENTRONICS,,,,
,UNKNOWN,GENTRONICS,,,,
,REVENANT HELMET,GENTRONICS,https://www.gentronics.com.au/product/achumrevenant/,,148.98,
,UNKNOWN,GENTRONICS,,,,
,UNKNOWN,GENTRONICS,,,,
,IMPACT SERIES CHAOS,GENTRONICS,,,,
,UNKNOWN,GENTRONICS,,,,
,CARNAGE HELMET,GENTRONICS,,,,
,UNKNOWN,GENTRONICS,,,,
,TRADE SERIES BLACK HELMET,GENTRONICS,,,,
,UNKNOWN,GENTRONICS,,,,
,TOXIC HELMET,GENTRONICS,,,,
,UNKNOWN,GENTRONICS,,,,
,TRADE SERIES DRAGON,GENTRONICS,,,,
,UNKNOWN,GENTRONICS,,,,
,SAMURAI HELMET,GENTRONICS,,,,
,UNKNOWN,GENTRONICS,,,,
,DEMON HELMET,GENTRONICS,,,,
,UNKNOWN,GENTRONICS,,,,
,PROFESSIONAL BLACK,GENTRONICS,,,,
,UNKNOWN,GENTRONICS,,,,
,PAPR UNIMIG (U21014K),GENTRONICS,,,,
,UNKNOWN,GENTRONICS,,,,
,UNKNOWN,GENTRONICS,,,,
,UNKNOWN,GENTRONICS,,,,
