HELMET SKU,HELMET NAME,Shop Name,PRODUCT LINK,BRAND,Helmet_Price,Helmet_Price_Bundle
,ORIGIN SERIES HELMET,HAMPDON WEBSITE,,,,
,UNKNOWN,HAMPDON WEBSITE,,,,
,REVENANT HELMET,HAMPDON WEBSITE,,,,
,UNKNOWN,HAMPDON WEBSITE,,,,
,CORE SERIES BLACK HELMET,HAMPDON WEBSITE,,,,
,UNKNOWN,HAMPDON WEBSITE,,,,
,IMPACT SERIES CHAOS,HAMPDON WEBSITE,,,,
,UNKNOWN,HAMPDON WEBSITE,,,,
,CARNAGE HELMET,HAMPDON WEBSITE,,,,
,UNKNOWN,HAMPDON WEBSITE,https://www.hampdon.com.au/Weldclass-Promax-350-Blue-Automatic-Welding-Helmet,,149.9,
,TRADE SERIES BLACK HELMET,HAMPDON WEBSITE,,,,
,UNKNOWN,HAMPDON WEBSITE,https://www.hampdon.com.au/weldclass-promax-500-black-stealth-welding-helmet,,199,
,TOXIC HELMET,HAMPDON WEBSITE,,,,
,UNKNOWN,HAMPDON WEBSITE,https://www.hampdon.com.au/4-SENSOR-Weldclass-Promax-500-Weld-Wolf-Automatic-Welding-Helmet,,,
,TRADE SERIES DRAGON,HAMPDON WEBSITE,,,,
,UNKNOWN,HAMPDON WEBSITE,https://www.hampdon.com.au/4-SENSOR-Weldclass-Promax-500-Revhead-Automatic-Welding-Helmet,,,
,SAMURAI HELMET,HAMPDON WEBSITE,,,,
,UNKNOWN,HAMPDON WEBSITE,,,,
,DEMON HELMET,HAMPDON WEBSITE,,,,
,UNKNOWN,HAMPDON WEBSITE,https://www.hampdon.com.au/4-sensor-weldclass-promax-650-black-stealth-automatic-welding-helmet,,,
,PROFESSIONAL BLACK,HAMPDON WEBSITE,,,,
,UNKNOWN,HAMPDON WEBSITE,https://www.hampdon.com.au/4-sensor-weldclass-promax-680-blue-retro-automatic-welding-helmet,,,
,PAPR UNIMIG (U21014K),HAMPDON WEBSITE,,,,
,UNKNOWN,HAMPDON WEBSITE,,,,
,UNKNOWN,HAMPDON WEBSITE,,,,
,UNKNOWN,HAMPDON WEBSITE,,,,
