HELMET SKU,HELMET NAME,Shop Name,PRODUCT LINK,BRAND,Helmet_Price,Helmet_Price_Bundle
,ORIGIN SERIES HELMET,METRO WELDER SERVICE,https://metweld.com.au/unimig-origin-series-welding-helmet/,,100.95,
,UNKNOWN,METRO WELDER SERVICE,,,,
,REVENANT HELMET,METRO WELDER SERVICE,https://metweld.com.au/core-series-welding-helmet-revenant/,,157.95,
,UNKNOWN,METRO WELDER SERVICE,https://metweld.com.au/promax-180-welding-helmet/,,69.00,
,CORE SERIES BLACK HELMET,METRO WELDER SERVICE,http://metweld.com.au/unimig-core-series-welding-helmet/,,,
,UNKNOWN,METRO WELDER SERVICE,,,,
,IMPACT SERIES CHAOS,METRO WELDER SERVICE,https://metweld.com.au/impact-series-welding-helmet-chaos/,,204.00,
,UNKNOWN,METRO WELDER SERVICE,https://metweld.com.au/promax-350-welding-helmet-aussie-graphic/,,159.00,
,CARNAGE HELMET,METRO WELDER SERVICE,https://metweld.com.au/unimig-trade-series-welding-helmet-carnage/,,264.00,
,UNKNOWN,METRO WELDER SERVICE,https://metweld.com.au/promax-350-welding-helmet-blue/,,159.01,
,TRADE SERIES BLACK HELMET,METRO WELDER SERVICE,https://metweld.com.au/unimig-trade-series-welding-helmet-black/,,264.00,
,UNKNOWN,METRO WELDER SERVICE,https://metweld.com.au/promax-500-stealth-welding-helmet/,,199.00,
,TOXIC HELMET,METRO WELDER SERVICE,https://metweld.com.au/unimig-toxic-welding-helmet/,,89.00,
,UNKNOWN,METRO WELDER SERVICE,https://metweld.com.au/promax-500-weldwolf-welding-helmet/,,199.00,
,TRADE SERIES DRAGON,METRO WELDER SERVICE,https://metweld.com.au/unimig-trade-series-welding-helmet-dragon/,,264.00,
,UNKNOWN,METRO WELDER SERVICE,https://metweld.com.au/promax-500-revhead-graphic-welding-helmet/,,199.00,
,SAMURAI HELMET,METRO WELDER SERVICE,https://metweld.com.au/unimig-professional-series-welding-helmet-samurai/,,319.00,
,UNKNOWN,METRO WELDER SERVICE,,,,
,DEMON HELMET,METRO WELDER SERVICE,https://metweld.com.au/unimig-professional-series-welding-helmet-demon/,,319.00,
,UNKNOWN,METRO WELDER SERVICE,https://metweld.com.au/promax-650-matte-black-welding-helmet/,,220.00,
,PROFESSIONAL BLACK,METRO WELDER SERVICE,https://metweld.com.au/unimig-professional-series-welding-helmet-black/,,319.00,
,UNKNOWN,METRO WELDER SERVICE,https://metweld.com.au/promax-680-welding-helmet/,,299.00,
,PAPR UNIMIG (U21014K),METRO WELDER SERVICE,https://metweld.com.au/unimig-papr-welding-helmet-black/,,"1,154.00",
,UNKNOWN,METRO WELDER SERVICE,,,,
,UNKNOWN,METRO WELDER SERVICE,https://metweld.com.au/weldclass-promax-680r-with-papr-respirator/,,862.00,
,UNKNOWN,METRO WELDER SERVICE,,,,
