HELMET SKU,HELMET NAME,Shop Name,PRODUCT LINK,BRAND,Helmet_Price,Helmet_Price_Bundle
,ORIGIN SERIES HELMET,PRIME SUPPLIES,,,,
,UNKNOWN,PRIME SUPPLIES,,,,
,REVENANT HELMET,PRIME SUPPLIES,,,,
,UNKNOWN,PRIME SUPPLIES,https://www.primesupplies.com.au/product/welding-helmet-promax-180-black-variable-9-13/,,59.00,
,CORE SERIES BLACK HELMET,PRIME SUPPLIES,,,,
,UNKNOWN,PRIME SUPPLIES,,,,
,IMPACT SERIES CHAOS,PRIME SUPPLIES,,,,
,UNKNOWN,PRIME SUPPLIES,https://www.primesupplies.com.au/product/welding-helmet-promax-350-aussie/,,129.00,
,CARNAGE HELMET,PRIME SUPPLIES,,,,
,UNKNOWN,PRIME SUPPLIES,https://www.primesupplies.com.au/product/welding-helmet-promax-350-blue-variable-9-13/,,149.00,
,TRADE SERIES BLACK HELMET,PRIME SUPPLIES,,,,
,UNKNOWN,PRIME SUPPLIES,https://www.primesupplies.com.au/product/welding-helmet-promax-500-black-stealth/,,199.00,
,TOXIC HELMET,PRIME SUPPLIES,,,,
,UNKNOWN,PRIME SUPPLIES,https://www.primesupplies.com.au/product/welding-helmet-promax-500-weldwolf/,,199.00,
,TRADE SERIES DRAGON,PRIME SUPPLIES,https://www.primesupplies.com.au/product/welding-helmet-trade-series-dragon/,,229.00,
,UNKNOWN,PRIME SUPPLIES,,,,
,SAMURAI HELMET,PRIME SUPPLIES,,,,
,UNKNOWN,PRIME SUPPLIES,,,,
,DEMON HELMET,PRIME SUPPLIES,,,,
,UNKNOWN,PRIME SUPPLIES,https://www.primesupplies.com.au/product/welding-helmet-promax-650-matt-black/,,239.00,
,PROFESSIONAL BLACK,PRIME SUPPLIES,,,,
,UNKNOWN,PRIME SUPPLIES,,,,
,PAPR UNIMIG (U21014K),PRIME SUPPLIES,,,,
,UNKNOWN,PRIME SUPPLIES,,,,
,UNKNOWN,PRIME SUPPLIES,,,,
,UNKNOWN,PRIME SUPPLIES,,,,
