HELMET SKU,HELMET NAME,Shop Name,PRODUCT LINK,BRAND,Helmet_Price,Helmet_Price_Bundle
,UNKNOWN,ROBSON'S TOOL KING,,,,
,UNKNOWN,ROBSON'S TOOL KING,https://www.toolking.com.au/promax-150-welding-helmet/,,52.95,
,UNKNOWN,ROBSON'S TOOL KING,,,,
,UNKNOWN,ROBSON'S TOOL KING,,,,
,UNKNOWN,ROBSON'S TOOL KING,,,,
,UNKNOWN,ROBSON'S TOOL KING,https://www.toolking.com.au/weldclass-promax-200-welding-helmet/,,99.00,
,UNKNOWN,ROBSON'S TOOL KING,https://www.toolking.com.au/unimig-welding-helmet-impact-series-chaos/,,189.00,
,UNKNOWN,ROBSON'S TOOL KING,https://www.toolking.com.au/weldclass-promax-350-aussie-auto-darkening-welding-helmet/,,144.00,
,UNKNOWN,ROBSON'S TOOL KING,https://www.toolking.com.au/unimig-trade-series-welding-helmet-carnage-u21021/,,349.00,
,UNKNOWN,ROBSON'S TOOL KING,https://www.toolking.com.au/weldclass-promax-350-blue-auto-darkening-welding-helmet/,,149.00,
,UNKNOWN,ROBSON'S TOOL KING,https://www.toolking.com.au/unimig-trade-series-welding-helmet-black-u21020/,,349.00,
,UNKNOWN,ROBSON'S TOOL KING,,,,
,UNKNOWN,ROBSON'S TOOL KING,,,,
,UNKNOWN,ROBSON'S TOOL KING,https://www.toolking.com.au/weldclass-promax-500-weldwolf-auto-darkening-welding-helmet/,,199.00,
,2X LINKS,ROBSON'S TOOL KING,https://www.toolking.com.au/unimig-trade-series-welding-helmet-dragon-u21027/,,349.00,
,UNKNOWN,ROBSON'S TOOL KING,https://www.toolking.com.au/weldclass-promax-500-revhead-auto-darkening-welding-helmet/,,199.00,
,UNKNOWN,ROBSON'S TOOL KING,https://www.toolking.com.au/unimig-professional-series-welding-helmet-samurai-u21019/,,399.00,
,UNKNOWN,ROBSON'S TOOL KING,,,,
,UNKNOWN,ROBSON'S TOOL KING,https://www.toolking.com.au/unimig-professional-series-welding-helmet-demon-u21018/,,399.00,
,UNKNOWN,ROBSON'S TOOL KING,https://www.toolking.com.au/weldclass-promax-650-auto-darkening-welding-helmet/,,259.00,
,UNKNOWN,ROBSON'S TOOL KING,https://www.toolking.com.au/unimig-professional-series-welding-helmet-black-u21015/,,399.00,
,UNKNOWN,ROBSON'S TOOL KING,https://www.toolking.com.au/weldclass-promax-680-auto-darkening-welding-helmet-wc-05345/,,285.00,
,UNKNOWN,ROBSON'S TOOL KING,https://www.toolking.com.au/unimig-papr-welding-helmet-u210014k/,,"1,050.00",
,UNKNOWN,ROBSON'S TOOL KING,,,,
,UNKNOWN,ROBSON'S TOOL KING,https://www.toolking.com.au/welding-helmet-promax-680r-with-papr-respirator-wc-06700/,,899.00,
,UNKNOWN,ROBSON'S TOOL KING,https://www.toolking.com.au/weldclass-promax-850r-welding-helmet-with-papr-respirator-wc-06702/,,"1,149.00",
