HELMET SKU,HELMET NAME,Shop Name,PRODUCT LINK,BRAND,Helmet_Price,Helmet_Price_Bundle
,ORIGIN SERIES HELMET,SUPERCHEAP AUTO,https://www.supercheapauto.com.au/p/unimig-unimig-origin-series-welding-helmet---black---u21033/689729.html#q=origin%2Bseries%2Bhelmet&lang=en_AU&start=1,,99.99,
,UNKNOWN,SUPERCHEAP AUTO,,,,
,REVENANT HELMET,SUPERCHEAP AUTO,https://www.supercheapauto.com.au/p/unimig-unimig-core-series-welding-helmet-revenant/689730.html,,149.99,
,UNKNOWN,SUPERCHEAP AUTO,,,,
,CORE SERIES BLACK HELMET,SUPERCHEAP AUTO,,,,
,UNKNOWN,SUPERCHEAP AUTO,,,,
,IMPACT SERIES CHAOS,SUPERCHEAP AUTO,,,,
,UNKNOWN,SUPERCHEAP AUTO,,,,
,CARNAGE HELMET,SUPERCHEAP AUTO,https://www.supercheapauto.com.au/p/unimig-trade-series-helmet---carnage/SPO9967486.html,,249.99,
,UNKNOWN,SUPERCHEAP AUTO,,,,
,TRADE SERIES BLACK HELMET,SUPERCHEAP AUTO,https://www.supercheapauto.com.au/p/unimig-unimig-trade-series-helmet---black---u21020/689728.html,,268.99,
,UNKNOWN,SUPERCHEAP AUTO,,,,
,TOXIC HELMET,SUPERCHEAP AUTO,,,,
,UNKNOWN,SUPERCHEAP AUTO,,,,
,TRADE SERIES DRAGON,SUPERCHEAP AUTO,https://www.supercheapauto.com.au/p/unimig-trade-series-helmet---dragon/SPO9967395.html,,249.99,
,UNKNOWN,SUPERCHEAP AUTO,,,,
,SAMURAI HELMET,SUPERCHEAP AUTO,,,,
,UNKNOWN,SUPERCHEAP AUTO,,,,
,DEMON HELMET,SUPERCHEAP AUTO,,,,
,UNKNOWN,SUPERCHEAP AUTO,,,,
,PROFESSIONAL BLACK,SUPERCHEAP AUTO,,,,
,UNKNOWN,SUPERCHEAP AUTO,,,,
,PAPR UNIMIG (U21014K),SUPERCHEAP AUTO,,,,
,UNKNOWN,SUPERCHEAP AUTO,,,,
,UNKNOWN,SUPERCHEAP AUTO,,,,
,UNKNOWN,SUPERCHEAP AUTO,,,,
