HELMET SKU,HELMET NAME,Shop Name,PRODUCT LINK,BRAND,Helmet_Price,Helmet_Price_Bundle
,ORIGIN SERIES HELMET,SYDNEY TOOLS,https://sydneytools.com.au/product/unimig-u21033-origin-series-welding-helmet-black,,$95.00,
,UNKNOWN,SYDNEY TOOLS,,,,
,REVENANT HELMET,SYDNEY TOOLS,https://sydneytools.com.au/product/unimig-u21032-core-series-welding-helmet-revenant,,$149.00,
,UNKNOWN,SYDNEY TOOLS,,,,
,CORE SERIES BLACK HELMET,SYDNEY TOOLS,https://sydneytools.com.au/product/unimig-u21031-core-series-welding-helmet-black,,$149.00,
,UNKNOWN,SYDNEY TOOLS,,,,
,IMPACT SERIES CHAOS,SYDNEY TOOLS,https://sydneytools.com.au/product/unimig-u21034-impact-series-welding-helmet-chaos,,$189.00,
,UNKNOWN,SYDNEY TOOLS,,,,
,CARNAGE HELMET,SYDNEY TOOLS,https://sydneytools.com.au/product/unimig-u21021-trade-series-welding-helmet-carnage,,$249.00,
,UNKNOWN,SYDNEY TOOLS,,,,
,TRADE SERIES BLACK HELMET,SYDNEY TOOLS,https://sydneytools.com.au/product/unimig-u21020-trade-series-welding-helmet-black,,$199.00,
,UNKNOWN,SYDNEY TOOLS,,,,
,TOXIC HELMET,SYDNEY TOOLS,https://sydneytools.com.au/product/unimig-umtwh-toxic-professional-automatic-welding-helmet,,$79.00,
,UNKNOWN,SYDNEY TOOLS,,,,
,TRADE SERIES DRAGON,SYDNEY TOOLS,https://sydneytools.com.au/product/unimig-u21027-trade-series-welding-helmet-dragon,,$249.00,
,UNKNOWN,SYDNEY TOOLS,,,,
,SAMURAI HELMET,SYDNEY TOOLS,https://sydneytools.com.au/product/unimig-u21019-professional-series-welding-helmet-samurai,,$299.00,
,UNKNOWN,SYDNEY TOOLS,,,,
,DEMON HELMET,SYDNEY TOOLS,https://sydneytools.com.au/product/unimig-u21018-professional-series-welding-helmet-demon,,$298.00,
,UNKNOWN,SYDNEY TOOLS,,,,
,PROFESSIONAL BLACK,SYDNEY TOOLS,https://sydneytools.com.au/product/unimig-u21015-professional-series-welding-helmet-black,,$299.00,
,UNKNOWN,SYDNEY TOOLS,,,,
,PAPR UNIMIG (U21014K),SYDNEY TOOLS,https://sydneytools.com.au/product/unimig-u21014k-papr-powered-air-purifying-respirator-black,,$999.00,
,UNKNOWN,SYDNEY TOOLS,,,,
,UNKNOWN,SYDNEY TOOLS,,,,
,UNKNOWN,SYDNEY TOOLS,,,,
