HELMET SKU,HELMET NAME,Shop Name,PRODUCT LINK,BRAND,Helmet_Price,Helmet_Price_Bundle
,ORIGIN SERIES HELMET,TKD,,,,
,UNKNOWN,TKD,https://toolkitdepot.com.au/promax-150-auto-darkening-helmet/,,49.00,
,REVENANT HELMET,TKD,https://toolkitdepot.com.au/unimig-welding-helmet-core-series-revenant-u21032/,,149.00,
,UNKNOWN,TKD,https://toolkitdepot.com.au/weldclass-promax-180-black-auto-welding-helmet-wc-05164/,,85.00,
,CORE SERIES BLACK HELMET,TKD,,,,
,UNKNOWN,TKD,https://toolkitdepot.com.au/weldclass-promax-200-automatic-welding-helmet-with-grind-mode-wc-05311/,,99.00,
,IMPACT SERIES CHAOS,TKD,https://toolkitdepot.com.au/order-in-unimig-welding-helmet-chaos-impact-series-u21034/,,189.00,
,UNKNOWN,TKD,,,,
,CARNAGE HELMET,TKD,https://toolkitdepot.com.au/unimig-welding-helmet-trade-series-carnage-u21021/,,249.00,
,UNKNOWN,TKD,https://toolkitdepot.com.au/weldclass-promax-350-welding-helmet-wc-05313/,,159.00,
,TRADE SERIES BLACK HELMET,TKD,,,,
,UNKNOWN,TKD,https://toolkitdepot.com.au/weldclass-promax-500-4-sensor-professional-automatic-welding-helmet-with-grind-mode-wc-05317/,,199.00,
,TOXIC HELMET,TKD,,,,
,UNKNOWN,TKD,https://toolkitdepot.com.au/weldclass-helmet-promax-500-weldwolf-wc-05318/,,199.00,
,TRADE SERIES DRAGON,TKD,,,,
,UNKNOWN,TKD,https://toolkitdepot.com.au/weldclass-welding-helmet-promax-500-electronic-revhead-graphic-wc-05319/,,199.00,
,SAMURAI HELMET,TKD,,,,
,UNKNOWN,TKD,https://toolkitdepot.com.au/weldclass-welding-helmet-promax-600-digital-armour-graphic-digital-wc-05340/,,249.00,
,DEMON HELMET,TKD,https://toolkitdepot.com.au/unimig-welding-helmet-professional-series-demon-u21018/,,299.00,
,UNKNOWN,TKD,,,,
,PROFESSIONAL BLACK,TKD,,,,
,UNKNOWN,TKD,,,,
,PAPR UNIMIG (U21014K),TKD,https://toolkitdepot.com.au/unimig-papr-powered-air-purifying-respirator-u21014k/,,898.43,
,UNKNOWN,TKD,https://toolkitdepot.com.au/weldclass-welding-helmet-promax-680-digital-matte-blue-wc-05344/,,289.00,
,UNKNOWN,TKD,https://toolkitdepot.com.au/weldclass-promax-papr-welding-helmet-680r-wc-06700/,,899.00,
,UNKNOWN,TKD,https://toolkitdepot.com.au/weldclass-promax-papr-welding-helmet-850r-wc-06702/,,1149.00,
