HELMET SKU,HELMET NAME,Shop Name,PRODUCT LINK,BRAND,Helmet_Price,Helmet_Price_Bundle
,ORIGIN SERIES HELMET,TOOLS WAREHOUSE,,,,
,UNKNOWN,TOOLS WAREHOUSE,,,,
,REVENANT HELMET,TOOLS WAREHOUSE,,,,
,UNKNOWN,TOOLS WAREHOUSE,https://toolswarehouse.com.au/products/weldclass-wc-05164-promax-180-black-welding-helmet,,79.00,
,CORE SERIES BLACK HELMET,TOOLS WAREHOUSE,https://toolswarehouse.com.au/products/unimig-u21031-black-core-series-welding-helmet?variant=44299224023232,,149.00,
,UNKNOWN,TOOLS WAREHOUSE,https://toolswarehouse.com.au/products/weldclass-wc-05311-promax-200-welding-helmet,,99.00,
,IMPACT SERIES CHAOS,TOOLS WAREHOUSE,,,,
,UNKNOWN,TOOLS WAREHOUSE,,,,
,CARNAGE HELMET,TOOLS WAREHOUSE,https://toolswarehouse.com.au/products/unimig-u21021-carnage-trade-series-welding-helmet,,249.00,
,UNKNOWN,TOOLS WAREHOUSE,https://toolswarehouse.com.au/products/weldclass-wc-05313-promax-350-blue-auto-darkening-welding-helmet,,149.90,
,TRADE SERIES BLACK HELMET,TOOLS WAREHOUSE,https://toolswarehouse.com.au/products/unimig-u21021-carnage-trade-series-welding-helmet,,249.00,
,UNKNOWN,TOOLS WAREHOUSE,https://toolswarehouse.com.au/products/weldclass-wc-05317-promax-500-black-stealth-auto-darkening-welding-helmet,,199.00,
,TOXIC HELMET,TOOLS WAREHOUSE,https://toolswarehouse.com.au/products/unimig-umtwh-toxic-automatic-welding-helmet,,125.00,
,UNKNOWN,TOOLS WAREHOUSE,https://toolswarehouse.com.au/products/weldclass-wc-05318-promax-500-weldwolf-auto-darkening-welding-helmet,,199.00,
,TRADE SERIES DRAGON,TOOLS WAREHOUSE,https://toolswarehouse.com.au/products/unimig-u21027-dragon-trade-series-welding-helmet,,249.00,
,UNKNOWN,TOOLS WAREHOUSE,https://toolswarehouse.com.au/products/weldclass-wc-05319-promax-500-revhead-welding-helmet,,199.00,
,SAMURAI HELMET,TOOLS WAREHOUSE,https://toolswarehouse.com.au/products/unimig-u21019-samurai-professional-series-welding-helmet,,299.00,
,UNKNOWN,TOOLS WAREHOUSE,,,,
,DEMON HELMET,TOOLS WAREHOUSE,https://toolswarehouse.com.au/products/unimig-u21018-demon-professional-series-welding-helmet,,299.00,
,UNKNOWN,TOOLS WAREHOUSE,,,,
,PROFESSIONAL BLACK,TOOLS WAREHOUSE,https://toolswarehouse.com.au/products/unimig-u21015-black-professional-series-welding-helmet,,299.00,
,UNKNOWN,TOOLS WAREHOUSE,,,,
,PAPR UNIMIG (U21014K),TOOLS WAREHOUSE,https://toolswarehouse.com.au/products/unimig-u21014k-black-papr-air-powered-purifying-respirator?variant=31240467611761,,"1,089.00",
,UNKNOWN,TOOLS WAREHOUSE,,,,
,UNKNOWN,TOOLS WAREHOUSE,,,,
,UNKNOWN,TOOLS WAREHOUSE,,,,
