HELMET SKU,HELMET NAME,Shop Name,PRODUCT LINK,BRAND,Helmet_Price,Helmet_Price_Bundle
,ORIGIN SERIES HELMET,TOTAL TOOLS,https://www.totaltools.com.au/204260-unimig-revenant-core-series-welding-helmet-u21032,,149,
,UNKNOWN,TOTAL TOOLS,,,,
,REVENANT HELMET,TOTAL TOOLS,,,,
,UNKNOWN,TOTAL TOOLS,,,,
,CORE SERIES BLACK HELMET,TOTAL TOOLS,https://www.totaltools.com.au/208643-unimig-core-series-welding-helmet-black-u21031,,149,
,UNKNOWN,TOTAL TOOLS,,,,
,IMPACT SERIES CHAOS,TOTAL TOOLS,https://www.totaltools.com.au/215797-unimig-chaos-impact-series-welding-helmet-u21034,,189,
,UNKNOWN,TOTAL TOOLS,,,,
,CARNAGE HELMET,TOTAL TOOLS,https://www.totaltools.com.au/200640-unimig-trade-series-helmet-carnage-u21021,,249,
,UNKNOWN,TOTAL TOOLS,,,,
,TRADE SERIES BLACK HELMET,TOTAL TOOLS,https://www.totaltools.com.au/200639-unimig-trade-series-helmet-black-u21020,,199,
,UNKNOWN,TOTAL TOOLS,,,,
,TOXIC HELMET,TOTAL TOOLS,https://www.totaltools.com.au/147879-unimig-professional-automatic-welding-helmet-toxic-umtwh,,125,
,UNKNOWN,TOTAL TOOLS,,,,
,TRADE SERIES DRAGON,TOTAL TOOLS,https://www.totaltools.com.au/200641-unimig-trade-series-helmet-dragon-u21027,,249,
,UNKNOWN,TOTAL TOOLS,,,,
,SAMURAI HELMET,TOTAL TOOLS,https://www.totaltools.com.au/200644-unimig-professional-series-helmet-samurai-u21019,,299,
,UNKNOWN,TOTAL TOOLS,,,,
,DEMON HELMET,TOTAL TOOLS,https://www.totaltools.com.au/200643-unimig-professional-series-helmet-demon-u21018,,298,
,UNKNOWN,TOTAL TOOLS,,,,
,PROFESSIONAL BLACK,TOTAL TOOLS,https://www.totaltools.com.au/200642-unimig-professional-series-helmet-black-u21015,,299,
,UNKNOWN,TOTAL TOOLS,,,,
,PAPR UNIMIG (U21014K),TOTAL TOOLS,https://www.totaltools.com.au/178529-unimig-papr-welding-helmet-umtwhk,,1089,
,UNKNOWN,TOTAL TOOLS,,,,
,UNKNOWN,TOTAL TOOLS,,,,
,UNKNOWN,TOTAL TOOLS,,,,
