HELMET SKU,HELMET NAME,Shop Name,PRODUCT LINK,BRAND,Helmet_Price,Helmet_Price_Bundle
,ORIGIN SERIES HELMET,TRADE TOOLS,https://www.totaltools.com.au/208644-unimig-origin-series-welding-helmet-black-u21033,,,
,UNKNOWN,TRADE TOOLS,https://www.tradetools.com/weldclass-promax-150-black-auto-welding-helmet-wc-05163,,49.90,
,REVENANT HELMET,TRADE TOOLS,,,,
,UNKNOWN,TRADE TOOLS,,,,
,CORE SERIES BLACK HELMET,TRADE TOOLS,,,,
,UNKNOWN,TRADE TOOLS,https://www.tradetools.com/weldclass-promax-200-silver-auto-welding-helmet-wc-05311,,99.00,
,IMPACT SERIES CHAOS,TRADE TOOLS,https://www.tradetools.com/unimig-impact-series-auto-welding-helmet-chaos-u21034,,208.00,
,UNKNOWN,TRADE TOOLS,,,,
,CARNAGE HELMET,TRADE TOOLS,https://www.tradetools.com/unimig-trade-series-auto-welding-helmet-carnage-u21021,,258.00,
,UNKNOWN,TRADE TOOLS,https://www.tradetools.com/weldclass-promax-350-blue-auto-welding-helmet-wc-05313,,159.00,
,TRADE SERIES BLACK HELMET,TRADE TOOLS,https://www.tradetools.com/unimig-trade-series-auto-welding-helmet-black-u21020 ,,258.00,
,UNKNOWN,TRADE TOOLS,https://www.tradetools.com/weldclass-promax-500-black-wide-view-auto-welding-helmet-wc-05317,,199.00,
,TOXIC HELMET,TRADE TOOLS,https://www.tradetools.com/unimig-professional-auto-welding-helmet-toxic-umtwh,,99.00,
,UNKNOWN,TRADE TOOLS,,,,
,TRADE SERIES DRAGON,TRADE TOOLS,https://www.tradetools.com/unimig-trade-series-auto-welding-helmet-dragon-u21027,,258.00,
,UNKNOWN,TRADE TOOLS,https://www.tradetools.com/weldclass-promax-500-revhead-super-size-view-auto-welding-helmet-wc-05319,,199.00,
,SAMURAI HELMET,TRADE TOOLS,https://www.tradetools.com/unimig-professional-series-auto-welding-helmet-samurai-u21019,,318.00,
,UNKNOWN,TRADE TOOLS,https://www.tradetools.com/weldclass-promax-600-brushed-grey-armour-extra-wide-view-auto-welding-helmet-wc-05340,,229.00,
,DEMON HELMET,TRADE TOOLS,https://www.tradetools.com/unimig-professional-series-auto-welding-helmet-demon-u21018,,318.00,
,UNKNOWN,TRADE TOOLS,https://www.tradetools.com/weldclass-promax-650-matte-black-auto-darkening-welding-helmet-wc-05343,,279.00,
,PROFESSIONAL BLACK,TRADE TOOLS,https://www.tradetools.com/unimig-professional-series-auto-welding-helmet-black-u21015,,318.00,
,UNKNOWN,TRADE TOOLS,,,,
,PAPR UNIMIG (U21014K),TRADE TOOLS,https://www.tradetools.com/unimig-papr-powered-air-purifying-respirator-auto-welding-helmet-u21014k,,"1,148.00",
,UNKNOWN,TRADE TOOLS,https://www.tradetools.com/weldclass-promax-680-digital-matte-blue-auto-welding-helmet-wc-05344,,299.00,
,UNKNOWN,TRADE TOOLS,https://www.tradetools.com/weldclass-promax-680r-welding-helmet-with-r50-papr-respirator-system-wc-06700,,899.00,
,UNKNOWN,TRADE TOOLS,https://www.tradetools.com/weldclass-promax-850r-flip-up-welding-helmet-with-r50-papr-respirator-system-wc-06702,,"1,149.00",
