HELMET SKU,HELMET NAME,Shop Name,PRODUCT LINK,BRAND,Helmet_Price,Helmet_Price_Bundle
,ORIGIN SERIES HELMET,VEK TOOLS,,,,
,UNKNOWN,VEK TOOLS,,,,
,REVENANT HELMET,VEK TOOLS,,,,
,UNKNOWN,VEK TOOLS,,,,
,UNKNOWN,VEK TOOLS,,,,
,IMPACT SERIES CHAOS,VEK TOOLS,,,,
,UNKNOWN,VEK TOOLS,,,,
,CARNAGE HELMET,VEK TOOLS,https://www.vektools.com.au/unimig-auto-darkening-welding-helmet-tradie-series-carnage.html,,"<span class=""price"">$349.00</span>",
,UNKNOWN,VEK TOOLS,,,,
,TRADE SERIES BLACK HELMET,VEK TOOLS,https://www.vektools.com.au/unimig-auto-darkening-welding-helmet-tradie-series-black.html,,"<span class=""price"">$349.00</span>",
,UNKNOWN,VEK TOOLS,,,,
,TOXIC HELMET,VEK TOOLS,https://www.vektools.com.au/unimig-auto-darkening-toxic-welding-helmet-umtwh.html,,"<span class=""price"">$149.00</span>",
,UNKNOWN,VEK TOOLS,,,,
,TRADE SERIES DRAGON,VEK TOOLS,https://www.vektools.com.au/unimig-auto-darkening-welding-helmet-tradie-series-dragon.html,,"<span class=""price"">$349.00</span>",
,UNKNOWN,VEK TOOLS,,,,
,SAMURAI HELMET,VEK TOOLS,,,,
,UNKNOWN,VEK TOOLS,,,,
,DEMON HELMET,VEK TOOLS,https://www.vektools.com.au/unimig-auto-darkening-welding-helmet-professional-series-demon.html,,"<span class=""price"">$399.00</span>",
,UNKNOWN,VEK TOOLS,,,,
,PROFESSIONAL BLACK,VEK TOOLS,https://www.vektools.com.au/unimig-auto-darkening-welding-helmet-professional-series-black.html,,"<span class=""price"">$399.00</span>",
,UNKNOWN,VEK TOOLS,,,,
,PAPR UNIMIG (U21014K),VEK TOOLS,https://www.vektools.com.au/unimig-auto-darkening-welding-helmet-with-air-purifying-respiration-system-u21014k.html,,"1,149.00",
,UNKNOWN,VEK TOOLS,,,,
,UNKNOWN,VEK TOOLS,,,,
,UNKNOWN,VEK TOOLS,,,,
