HELMET SKU,HELMET NAME,Shop Name,PRODUCT LINK,BRAND,Helmet_Price,Helmet_Price_Bundle
,ORIGIN SERIES HELMET,WA INDUSTRIAL SUPPLIES WEBSITE,,,,
,UNKNOWN,WA INDUSTRIAL SUPPLIES WEBSITE,,,,
,REVENANT HELMET,WA INDUSTRIAL SUPPLIES WEBSITE,,,,
,UNKNOWN,WA INDUSTRIAL SUPPLIES WEBSITE,,,,
,CORE SERIES BLACK HELMET,WA INDUSTRIAL SUPPLIES WEBSITE,,,,
,UNKNOWN,WA INDUSTRIAL SUPPLIES WEBSITE,,,,
,IMPACT SERIES CHAOS,WA INDUSTRIAL SUPPLIES WEBSITE,,,,
,UNKNOWN,WA INDUSTRIAL SUPPLIES WEBSITE,,,,
,CARNAGE HELMET,WA INDUSTRIAL SUPPLIES WEBSITE,,,,
,UNKNOWN,WA INDUSTRIAL SUPPLIES WEBSITE,,,,
,TRADE SERIES BLACK HELMET,WA INDUSTRIAL SUPPLIES WEBSITE,,,,
,UNKNOWN,WA INDUSTRIAL SUPPLIES WEBSITE,,,,
,TOXIC HELMET,WA INDUSTRIAL SUPPLIES WEBSITE,https://www.waindustrialsupplies.net/product/toxic-welding-helmet/314?cp=true&sa=false&sbp=false&q=true,,A$125.00,
,UNKNOWN,WA INDUSTRIAL SUPPLIES WEBSITE,,,,
,TRADE SERIES DRAGON,WA INDUSTRIAL SUPPLIES WEBSITE,,,,
,UNKNOWN,WA INDUSTRIAL SUPPLIES WEBSITE,,,,
,SAMURAI HELMET,WA INDUSTRIAL SUPPLIES WEBSITE,https://www.waindustrialsupplies.net/product/professional-series-welding-helmet-samurai/315?cp=true&sa=false&sbp=false&q=true,,A$399.00,
,UNKNOWN,WA INDUSTRIAL SUPPLIES WEBSITE,,,,
,DEMON HELMET,WA INDUSTRIAL SUPPLIES WEBSITE,,,,
,UNKNOWN,WA INDUSTRIAL SUPPLIES WEBSITE,,,,
,PROFESSIONAL BLACK,WA INDUSTRIAL SUPPLIES WEBSITE,,,,
,UNKNOWN,WA INDUSTRIAL SUPPLIES WEBSITE,,,,
,PAPR UNIMIG (U21014K),WA INDUSTRIAL SUPPLIES WEBSITE,,,,
,UNKNOWN,WA INDUSTRIAL SUPPLIES WEBSITE,,,,
,UNKNOWN,WA INDUSTRIAL SUPPLIES WEBSITE,,,,
,UNKNOWN,WA INDUSTRIAL SUPPLIES WEBSITE,,,,
