HELMET SKU,HELMET NAME,Shop Name,PRODUCT LINK,BRAND,Helmet_Price,Helmet_Price_Bundle
,ORIGIN SERIES HELMET,WELDCONNECT,https://www.weldconnect.com.au/origin-series-welding-helmet-black,,91.78,
,UNKNOWN,WELDCONNECT,,,,
,ORIGIN SERIES HELMET,WELDCONNECT,https://www.weldconnect.com.au/origin-series-welding-helmet-black,,91.78,
,UNKNOWN,WELDCONNECT,,,,
,REVENANT HELMET,WELDCONNECT,https://www.weldconnect.com.au/core-series-welding-helmet-revenant,,143.6,
,UNKNOWN,WELDCONNECT,,,,
,REVENANT HELMET,WELDCONNECT,https://www.weldconnect.com.au/core-series-welding-helmet-revenant,,143.6,
,UNKNOWN,WELDCONNECT,,,,
,CORE SERIES BLACK HELMET,WELDCONNECT,https://www.weldconnect.com.au/core-series-welding-helmet-black,,143.6,
,UNKNOWN,WELDCONNECT,https://www.weldconnect.com.au/welding-helmet-promax-200-slate-graphic-weldclass,,90,
,CORE SERIES BLACK HELMET,WELDCONNECT,https://www.weldconnect.com.au/core-series-welding-helmet-black,,143.6,
,UNKNOWN,WELDCONNECT,,,,
,IMPACT SERIES CHAOS,WELDCONNECT,,,,
,UNKNOWN,WELDCONNECT,,,,
,IMPACT SERIES CHAOS,WELDCONNECT,,,,
,UNKNOWN,WELDCONNECT,https://www.weldconnect.com.au/welding-helmet-promax-350-aussie-graphic-weldclass,,144.55,
,CARNAGE HELMET,WELDCONNECT,https://www.weldconnect.com.au/welding-helmet-trade-series-carnage,,317.27,
,UNKNOWN,WELDCONNECT,,,,
,UNKNOWN,WELDCONNECT,https://www.weldconnect.com.au/welding-helmet-promax-350-blue-weldclass,,144.55,
,TRADE SERIES BLACK HELMET,WELDCONNECT,https://www.weldconnect.com.au/welding-helmet-trade-series-black,,317.27,
,UNKNOWN,WELDCONNECT,,,,
,UNKNOWN,WELDCONNECT,https://www.weldconnect.com.au/welding-helmet-promax-500-black-stealth-weldclass,,180.91,
,TOXIC HELMET,WELDCONNECT,,,,
,UNKNOWN,WELDCONNECT,,,,
,UNKNOWN,WELDCONNECT,https://www.weldconnect.com.au/welding-helmet-promax-500-weldwolf-graphic-weldcla,,180.91,
,TRADE SERIES DRAGON,WELDCONNECT,https://www.weldconnect.com.au/welding-helmet-trade-series-dragon,,317.27,
,UNKNOWN,WELDCONNECT,https://www.weldconnect.com.au/welding-helmet-promax-500-revhead-graphic-weldclas,,180.91,
,UNKNOWN,WELDCONNECT,,,,
,SAMURAI HELMET,WELDCONNECT,https://www.weldconnect.com.au/welding-helmet-professional-series-samurai,,362.73,
,UNKNOWN,WELDCONNECT,https://www.weldconnect.com.au/welding-helmet-promax-600-digital-armour-graphic-w,,226.36,
,UNKNOWN,WELDCONNECT,,,,
,DEMON HELMET,WELDCONNECT,https://www.weldconnect.com.au/welding-helmet-professional-series-demon,,290,
,UNKNOWN,WELDCONNECT,https://www.weldconnect.com.au/welding-helmet-promax-650-digital-matte-black-weld,,253.64,
,UNKNOWN,WELDCONNECT,,,,
,PROFESSIONAL BLACK,WELDCONNECT,,,,
,UNKNOWN,WELDCONNECT,https://www.weldconnect.com.au/welding-helmet-promax-680-digital-blue-retro-graph,,271.82,
,UNKNOWN,WELDCONNECT,,,,
,PAPR UNIMIG (U21014K),WELDCONNECT,https://www.weldconnect.com.au/papr-welding-helmet,,1049.1,
,UNKNOWN,WELDCONNECT,https://www.weldconnect.com.au/welding-helmet-promax-680-digital-matte-blue-weldc,,271.82,
,UNKNOWN,WELDCONNECT,,,,
,UNKNOWN,WELDCONNECT,,,,
,UNKNOWN,WELDCONNECT,,,,
,UNKNOWN,WELDCONNECT,,,,
,UNKNOWN,WELDCONNECT,,,,
