HELMET SKU,HELMET NAME,Shop Name,PRODUCT LINK,BRAND,Helmet_Price,Helmet_Price_Bundle
,ORIGIN SERIES HELMET,HARE AND FORBES,,,,
,UNKNOWN,HARE AND FORBES,,,,
,REVENANT HELMET,HARE AND FORBES,,,,
,UNKNOWN,HARE AND FORBES,,,,
,CORE SERIES BLACK HELMET,HARE AND FORBES,,,,
,UNKNOWN,HARE AND FORBES,https://www.machineryhouse.com.au/w001,,88.00,
,IMPACT SERIES CHAOS,HARE AND FORBES,,,,
,UNKNOWN,HARE AND FORBES,,,,
,CARNAGE HELMET,HARE AND FORBES,,,,
,UNKNOWN,HARE AND FORBES,https://www.machineryhouse.com.au/w002,,143.00,
,TRADE SERIES BLACK HELMET,HARE AND FORBES,,,,
,UNKNOWN,HARE AND FORBES,https://www.machineryhouse.com.au/w003,,198.00,
,TOXIC HELMET,HARE AND FORBES,,,,
,UNKNOWN,HARE AND FORBES,,,,
,TRADE SERIES DRAGON,HARE AND FORBES,,,,
,UNKNOWN,HARE AND FORBES,,,,
,SAMURAI HELMET,HARE AND FORBES,,,,
,UNKNOWN,HARE AND FORBES,,,,
,DEMON HELMET,HARE AND FORBES,,,,
,UNKNOWN,HARE AND FORBES,https://www.machineryhouse.com.au/w006?s=Promax%20650,,220.00,
,PROFESSIONAL BLACK,HARE AND FORBES,,,,
,UNKNOWN,HARE AND FORBES,,,,
,PAPR UNIMIG (U21014K),HARE AND FORBES,https://www.machineryhouse.com.au/w159,,"1,034.00",
,UNKNOWN,HARE AND FORBES,,,,
,UNKNOWN,HARE AND FORBES,https://www.machineryhouse.com.au/w157,,899.00,
,UNKNOWN,HARE AND FORBES,http://machineryhouse.com.au/w158,,,
