BRAND,PRODUCT SKU,PRODUCT NAME,Shop Name,PRODUCT LINK,Price,Price_Bundle
Unimig,U11005K,VIPER 135,ALPHAWELD,,,
Unimig,KUMJRVM185,VIPER 185,ALPHAWELD,https://www.alphaweld.com.au/product/19427-unimig-viper-185-mig-tig-stick-welder,943.42,
Unimig,U11011,VIPER 195,ALPHAWELD,https://www.alphaweld.com.au/product/22063-unimig-viper-multi-195-max-welder,"1,427.50",
Unimig,U11003K,RAZOR 200 PULSE,ALPHAWELD,https://www.alphaweld.com.au/product/21296-unimig-razor-200-pulse-mig-tig-stick-welder,"2,604.43",
Unimig,U11007K,RAZOR MULTI 175,ALPHAWELD,https://www.alphaweld.com.au/product/21859-unimig-razor-multi-175-mig-tig-stick-welder,"1,581.50",
UPTO HERE,U11012,RAZOR MULTI 200 PFC,ALPHAWELD,https://www.alphaweld.com.au/product/21740-unimig-razor-arc-200-pfc-stick-welder-mine-spec,992.50,
UPTO HERE,U11008K,RAZOR MULTI 220,ALPHAWELD,https://www.alphaweld.com.au/product/21860-unimig-razor-multi-220-mig-tig-stick-welder,"1,939.00",
UPTO HERE,U11009K,RAZOR MULTI 250,ALPHAWELD,https://www.alphaweld.com.au/product/21861-unimig-razor-multi-250-mig-tig-stick-welder,"2,570.00",
UPTO HERE,U11010K,RAZOR COMPACT 250,ALPHAWELD,https://www.alphaweld.com.au/product/21858-unimig-razor-compact-250-mig-tig-stick-welder,"2,920.00",
UPTO HERE,KUMJR350K-SG,RAZOR COMPACT 350 (OLD),ALPHAWELD,https://www.alphaweld.com.au/product/20631-unimig-razor-350-compact-mig-tig-stick-welder,"3,640.00",
UPTO HERE,KUMJR250SWF,RAZOR 250 SWF,ALPHAWELD,https://www.alphaweld.com.au/product/20554-unimig-razorweld-250swf-240v-welder,"5,160.00",
UPTO HERE,KUMJR350SWF,RAZOR 350 SWF,ALPHAWELD,https://www.alphaweld.com.au/product/9214-unimig-razor-350-swf-mig-tig-stick-welder-package,,
UPTO HERE,KUMJRRW500SWF,RAZOR 500 SWF,ALPHAWELD,https://www.alphaweld.com.au/product/21214-unimig-razor-500-swf-mig-tig-stick-welder,,
UPTO HERE,U12004,RAZOR TIG 200 ACDC WATER COOLER,ALPHAWELD,https://www.alphaweld.com.au/product/22076-unimig-razor-200-ac-dc-water-cooler,"1,464.50",
UPTO HERE,U12003K,RAZOR TIG 220 DC,ALPHAWELD,https://www.alphaweld.com.au/product/22632-unimig-razor-tig-220-dc-welder?srsltid=AfmBOoqan-GOJ0gIa5IF95GjbXT5C9wFZ87ccOpTFSY2tQJ_k9w9NLor,"1,811.50",
UPTO HERE,KUMJRRW320ACDC,RAZOR 320 ACDC,ALPHAWELD,https://www.alphaweld.com.au/product/19981-unimig-razor-320-ac-dc-tig-welder?srsltid=AfmBOorp7Dkp2423b8U3rW4cLdQvsWmiL2_yer_f3JQr1spi8TREOmgy,,
UPTO HERE,U31006,VIPER ARC 140,ALPHAWELD,,,
UPTO HERE,U13002K,RAZOR ARC 160 PFC,ALPHAWELD,https://www.alphaweld.com.au/product/21739-unimig-razor-arc-160-pfc-stick-welder-mine-spec?srsltid=AfmBOooaZ19AykOm2dqnOTa4WqZEXFvc-jJ8f-YJFt9Lw02eeZuF88aq,876.00,
UPTO HERE,KUMJRRW180CA,NOT ANALYSED SUBSEQUENTLY,ALPHAWELD,,,
UPTO HERE,U13005,NEW RAZOR ARC 180,ALPHAWELD,https://www.alphaweld.com.au/product/22078-unimig-razor-arc-180-stick-tig-welder?srsltid=AfmBOooBVii6Db8QsvPE5HpnMlHBc-89Bbtil0gVvqq7HoCa3WeNDd8u,643.50,
UPTO HERE,U13003K,RAZOR ARC 200 PFC,ALPHAWELD,https://www.alphaweld.com.au/product/21740-unimig-razor-arc-200-pfc-stick-welder-mine-spec?srsltid=AfmBOoplMnFIS05-sBN5i--Fvv9t8rFuTUXo1dRzkgHJIPuA-1-xL2Sl,992.50,
UPTO HERE,U13004,RAZOR ARC 140,ALPHAWELD,https://www.alphaweld.com.au/product/22077-unimig-razor-arc-140-stick-tig-welder?srsltid=AfmBOorWRdHc8-GJuC17VIb0eVuSy8IaE6lwOF3hnxC9MBBQayc9gmMy,585.50,
UPTO HERE,U14005K,VIPER CUT 30 MK 2,ALPHAWELD,,,
UPTO HERE,U14001K,RAZOR CUT 40,ALPHAWELD,,,
UPTO HERE,U14006K,RAZOR CUT 45,ALPHAWELD,,,
UPTO HERE,U14007,RAZOR CUT 45 PLASMA CUTTER AIR COMPRESSOR,ALPHAWELD,,,
UPTO HERE,KUPJRRW80,RAZOR CUT 80,ALPHAWELD,https://www.alphaweld.com.au/product/19435-razor-cut-80-plasma-cutter-machine-415v?srsltid=AfmBOopwqvdvNWVKfeitRGBnNnkEgqj-bJczGrf-a-FxNrOU-6KtgwlB,,
UPTO HERE,U14004K,RAZOR CUT 120,ALPHAWELD,,,
UPTO HERE,U14004K,RAZOR CUT 160,ALPHAWELD,,,
UPTO HERE,KUM27,WORKSHOP 270,ALPHAWELD,,,
UPTO HERE,KUM270SWF,WORKSHOP 270 SWF,ALPHAWELD,,,
UPTO HERE,KUM390,WORKSHOP 390,ALPHAWELD,,,
UPTO HERE,KUM390SWF,WORKSHOP 390 SWF,ALPHAWELD,,,
KUM390S/D,WORKSHOP 390 SWF DUAL VOLTAGE,WORKSHOP 390 SWF,ALPHAWELD,,,
KUM390S/D,KUM425SWF,WORKSHOP 425 SWF,ALPHAWELD,,,
KUM390S/D,U11119,EVOLVE MULTI 400,ALPHAWELD,,,
KUM390S/D,U11142,EVOLVE MULTI 500,ALPHAWELD,,,
