BRAND,PRODUCT SKU,PRODUCT NAME,Shop Name,PRODUCT LINK,Price,Price_Bundle
Unimig,KUMJRVM185,VIPER 185,BILBA WEBSITE,https://bilba.com.au/products/unimig-viper-185-mig-welder?srsltid=AfmBOorM9xbdCpSGqNFkrVim7UfBY-NoK_U8gaVLXtad4QEBDlYNvBTF,,
Unimig,U11003K,RAZOR 200 PULSE,BILBA WEBSITE,https://bilba.com.au/products/unimig-razor-200-pulse-mig-tig-stick-welder?srsltid=AfmBOoom7TqCtvwIef9AqTgTmd_biclFH0W85yaqbOErYyGtDDYJDDl0,"2,699.00",
Unimig,U11004K,RAZOR 230,BILBA WEBSITE,https://bilba.com.au/products/unimig-razor-multi-230-ac-dc-mig-tig-stick-welder?srsltid=AfmBOoqP18tdE8BalJy-k9phgQX3oIoBigt7m2_2rFoxK93B0PDP74Mu,"2,495.00",
Unimig,U11007K,RAZOR MULTI 175,BILBA WEBSITE,https://bilba.com.au/products/unimig-razor-multi-175-welder?srsltid=AfmBOoqrcyItnYkdHvmmHMrp6Z7N-pFgOuiv_wJhyPmV19CKmUt5LIBi,"1,439.00",
Unimig,U11012,RAZOR MULTI 200 PFC,BILBA WEBSITE,,,
Unimig,U11008K,RAZOR MULTI 220,BILBA WEBSITE,https://bilba.com.au/products/unimig-razorweld-200dc-mig-mma-inverter?srsltid=AfmBOoo6LO2IPbGS9ooseD6EAjUr1kUl7YsxXyLhOtzzSpbV8BYBG57q,"1,764.00",
Unimig,U11009K,RAZOR MULTI 250,BILBA WEBSITE,https://bilba.com.au/products/unimig-250-inverter-mts?srsltid=AfmBOooH9D3q9rA9OyO9OPP6dy_On2VpMm6QEhD4GV9PBLAlUjES5Xh3,"2,429.00",
Unimig,U11010K,RAZOR COMPACT 250,BILBA WEBSITE,https://bilba.com.au/products/unimig-250-k?srsltid=AfmBOooCR4bCZCCwXW4a3r23dcPSSan01zocrn_MzKdy4uySkQyipBVD,"2,754.00",
Unimig,KUMJR350K-SG,RAZOR COMPACT 350 (OLD),BILBA WEBSITE,https://bilba.com.au/products/unimig-350-mig-mma-tig-inverter?srsltid=AfmBOorbQypB2aClxvToeYfiCqvl_EgLHk2uC9L_a-h8SY-rZQhYopzV,"3,445.00",
Unimig,KUMJR250SWF,RAZOR 250 SWF,BILBA WEBSITE,https://bilba.com.au/products/unimig-250swf-inverter?srsltid=AfmBOop8t7oiqvAoXuwM0G20DY4pzPkrNZslyMlmYra61v5Na63D3RUG,,
