BRAND,PRODUCT SKU,PRODUCT NAME,Shop Name,PRODUCT LINK,Price,Price_Bundle
Unimig,U11005K,VIPER 135,ELECTROWELD WEBSITE,https://www.electroweld.com.au/product/unimig-viper-135-multi-3-in-1-mig-tig-stick-welder-welding-torch-mma-u11005k/,379.00,
Unimig,U11006K,VIPER 165,ELECTROWELD WEBSITE,https://www.electroweld.com.au/product/unimig-viper-multi-165-mig-tig-stick-welder-torch-gas-gasless-synergic-u11006k/,649.00,
Unimig,U11006K,VIPER 165,ELECTROWELD WEBSITE,https://www.electroweld.com.au/product/unimig-viper-multi-165-mig-tig-stick-welder-torch-gas-gasless-synergic-u11006k/?srsltid=AfmBOopNf58UR9gK42WkXWlFrgmr_tz_In9miTsThiVeolnnA4jYbO4e ,649.00,
Unimig,KUMJRVM185,VIPER 185,ELECTROWELD WEBSITE,https://www.electroweld.com.au/product/unimig-viper-185-mig-tig-stick-welder-kumjrvm185/?srsltid=AfmBOorPG-aBQxhGcNe-uLiVpC57E8NPk9QEPEKEFeTB1uX8RQaXoCic,879.95,
Unimig,KUMJRVM185,VIPER 185,ELECTROWELD WEBSITE,https://www.electroweld.com.au/product/unimig-viper-185-mig-tig-stick-welder-kumjrvm185/?srsltid=AfmBOorPG-aBQxhGcNe-uLiVpC57E8NPk9QEPEKEFeTB1uX8RQaXoCic,879.95,
Unimig,U11011,VIPER 195,ELECTROWELD WEBSITE,https://www.electroweld.com.au/product/unimig-viper-multi-195-max-mig-tig-stick-welder-hf-dc-smart-set-10a-torch-u11011/?srsltid=AfmBOoqjCWv-yRAtNjfQiQ6Kz8HZ-QEyXW04bO0x3xwq6Hx5CgctBX1v,"1,047.00",
Unimig,U11003K,RAZOR 200 PULSE,ELECTROWELD WEBSITE,https://www.electroweld.com.au/product/unimig-razor-200-pulse-mig-tig-stick-bundle-welder-gloves-consumables-wire-u11003k/,"2,448.00",
Unimig,U11004K,RAZOR 230,ELECTROWELD WEBSITE,https://www.electroweld.com.au/product/unimig-razor-multi-230-acdc-mig-tig-stick-welder-smart-set-230acdc-ac-dc-u11004k/,"2,395.00",
Unimig,U11007K,RAZOR MULTI 175,ELECTROWELD WEBSITE,https://www.electroweld.com.au/product/unimig-razor-multi-175-mig-mma-stick-welder-sb25-torch-gas-gasless-u11007k/,"1,299.00",
Unimig,U11012,RAZOR MULTI 200 PFC,ELECTROWELD WEBSITE,,,
Unimig,U11008K,RAZOR MULTI 220,ELECTROWELD WEBSITE,https://www.electroweld.com.au/product/unimig-razor-multi-220-mig-tig-stick-3-in-1-welder-mb24-torch-u11008k/,"1,332.00",
Unimig,U11009K,RAZOR MULTI 250,ELECTROWELD WEBSITE,https://www.electroweld.com.au/product/unimig-razor-multi-250-weldermig-tig-stick-welding-machine/,"2,195.00",
Unimig,U11010K,RAZOR COMPACT 250,ELECTROWELD WEBSITE,https://www.electroweld.com.au/product/unimig-razor-compact-250-welder-3-in-1-multi-mig-tig-stick/,"2,445.00",
Unimig,KUMJR350K-SG,RAZOR COMPACT 350 (OLD),ELECTROWELD WEBSITE,https://www.electroweld.com.au/product/unimig-razor-350-mig-tig-mma-compact-welder-kumjr350k-sg/,"2,949.95",
Unimig,KUMJR250SWF,RAZOR 250 SWF,ELECTROWELD WEBSITE,https://www.electroweld.com.au/product/unimig-razorweld-250-swf-mig-tig-mma-welder-kumjr250swf/,"3,995.00",
Unimig,KUMJR350SWF,RAZOR 350 SWF,ELECTROWELD WEBSITE,https://www.electroweld.com.au/product/unimig-razor-350-swf-mig-tig-mma-welder-kumjr350swf/,"4,889.00",
Unimig,KUMJRRW500SWF,RAZOR 500 SWF,ELECTROWELD WEBSITE,https://www.electroweld.com.au/product/unimig-razor-500-swf-mig-tig-welder-rwx8000-helmet-torch-regulator-pk11063/,"5,249.00",
Unimig,U12004,RAZOR TIG 200 ACDC WATER COOLER,ELECTROWELD WEBSITE,https://www.electroweld.com.au/product/unimig-razor-320-acdc-water-cooler-trolley-cart-jrtig320trolley/,"1,903.00",
Unimig,U12002K,RAZOR TIG 200 ACDC,ELECTROWELD WEBSITE,https://www.electroweld.com.au/product/unimig-razor-tig-200-acdc-welder-t2-torch-pulse-stick-mma-ac-dc-u12002k/,"1,898.00",
Unimig,U12003K,RAZOR TIG 220 DC,ELECTROWELD WEBSITE,https://www.electroweld.com.au/product/unimig-razor-pfc-tig-220-dc-welder-t2-torch-mma-stick/,"1,545.00",
Unimig,KUMJRRW320ACDC,RAZOR 320 ACDC,ELECTROWELD WEBSITE,https://www.electroweld.com.au/product/unimig-razor-320-ac-dc-hf-tig-welder-kumjrrw320acdc/,"3,465.00",
Unimig,U31006,VIPER ARC 140,ELECTROWELD WEBSITE,NOT HERE,,
Unimig,U13002K,RAZOR ARC 160 PFC,ELECTROWELD WEBSITE,https://www.electroweld.com.au/product/unimig-razor-arc-160-pfc-tig-stick-mma-welder-dc-lift-vrd-15a-kumjrrw160ca/,749.00,
Unimig,KUMJRRW180CA,NOT ANALYSED SUBSEQUENTLY,ELECTROWELD WEBSITE,https://www.electroweld.com.au/product/unimig-razor-arc-180-amp-mma-tig-welder-kumjrrw180ca/,,
Unimig,U13005,NEW RAZOR ARC 180,ELECTROWELD WEBSITE,https://www.electroweld.com.au/product/unimig-razor-arc-180-welder-tig-stick-mma-15a-plug-invertor-dc-razorweld-u13005/,549.00,
Unimig,U13003K,RAZOR ARC 200 PFC,ELECTROWELD WEBSITE,https://www.electroweld.com.au/product/unimig-razor-arc-140-welder-tig-stick-mma-10a-plug-invertor-dc-razorweld-u13004/,495.00,
Unimig,U13004,RAZOR ARC 140,ELECTROWELD WEBSITE,https://www.electroweld.com.au/product/unimig-razor-arc-140-welder-tig-stick-mma-10a-plug-invertor-dc-razorweld-u13004/,495.00,
Unimig,U14005K,VIPER CUT 30 MK 2,ELECTROWELD WEBSITE,https://www.electroweld.com.au/product/unimig-viper-cut-30-mark-ii-2-plasma-cutter-sc30-torch-regulator-u14005k/,689.00,
Unimig,U14001K,RAZOR CUT 40,ELECTROWELD WEBSITE,https://www.electroweld.com.au/product/unimig-razor-cut-40-plasma-cutter-sc80-torch-clamp-razorcut-welding-u14001k/,"1,820.00",
Unimig,U14006K,RAZOR CUT 45,ELECTROWELD WEBSITE,https://www.electroweld.com.au/product/unimig-razor-cut-45-plasma-cutter-inverter-sc80-torch-razorcut-cutting-u14006k/,"1,648.95",
Unimig,U14007,RAZOR CUT 45 PLASMA CUTTER AIR COMPRESSOR,ELECTROWELD WEBSITE,https://www.electroweld.com.au/product/unimig-razor-cut-45-plasma-cutter-air-compressor-cnc-cutting-u14006k-u14007/,348.00,
Unimig,KUPJRRW80,RAZOR CUT 80,ELECTROWELD WEBSITE,,,
Unimig,U14004K,RAZOR CUT 120,ELECTROWELD WEBSITE,https://www.electroweld.com.au/product/unimig-razor-cut-120-plasma-cutter-inverter-sc120-torch-razorcut-u14002k/,"4,045.00",
