BRAND,PRODUCT SKU,PRODUCT NAME,Shop Name,PRODUCT LINK,Price,Price_Bundle
Unimig,U11005K,VIPER 135,GASREP,,,
Unimig,U11006K,VIPER 165,GASREP,https://gasrep.com.au/shop/welders/mig-welders/viper-multi-165-mig-tig-stick-welder-u11006k/  ,749.00,
Unimig,KUMJRVM185,VIPER 185,GASREP,https://gasrep.com.au/shop/welders/mig-welders/single-phase/unimig-viper-185-inverter-mig-welder-kumjrvm185/,999.00,
Unimig,U11011,VIPER 195,GASREP,https://gasrep.com.au/shop/welders/mig-welders/single-phase/unimig-viper-multi-195-max-welder-10amp-u11011/,"1,299.00",
Unimig,U11003K,RAZOR 200 PULSE,GASREP,https://gasrep.com.au/shop/welders/mig-welders/pulse-mig-welders/unimig-razor-200amp-pulse-mig-welder-u11003k/,"2,699.00",
Unimig,U11004K,RAZOR 230,GASREP,,,
Unimig,U11007K,RAZOR MULTI 175,GASREP,https://gasrep.com.au/shop/welders/mig-welders/single-phase/unimig-razor-u11007k-multi-175/,"1,439.00",
Unimig,U11012,RAZOR MULTI 200 PFC,GASREP,https://gasrep.com.au/shop/welders/mig-welders/unimig-razor-multi-200-pfc-welder-u11012/,"2,094.00",
Unimig,U11008K,RAZOR MULTI 220,GASREP,https://gasrep.com.au/shop/welders/mig-welders/single-phase/unimig-razor-u11008k-multi-220/,"1,764.00",
Unimig,U11009K,RAZOR MULTI 250,GASREP,https://gasrep.com.au/shop/welders/mig-welders/single-phase/unimig-razor-multi-250amp-welder-u11009k/,"2,429.00",
Unimig,U11010K,RAZOR COMPACT 250,GASREP,,,
Unimig,KUMJR350K-SG,RAZOR COMPACT 350 (OLD),GASREP,,,
Unimig,KUMJR250SWF,RAZOR 250 SWF,GASREP,,,
Unimig,KUMJR350SWF,RAZOR 350 SWF,GASREP,https://gasrep.com.au/shop/welders/mig-welders/three-phase/unimig-kumjr350swf-razorweld-350-swf-mig-tig-mma-welder/,"5,089.00",
Unimig,KUMJRRW500SWF,RAZOR 500 SWF,GASREP,https://gasrep.com.au/shop/welders/mig-welders/three-phase/unimig-kumjrrw500swf-razorweld-500-swf-mig-tig-mma-welder/,"5,825.00",
Unimig,U12004,RAZOR TIG 200 ACDC WATER COOLER,GASREP,,,
Unimig,U12002K,RAZOR TIG 200 ACDC,GASREP,,,
Unimig,U12003K,RAZOR TIG 220 DC,GASREP,,,
Unimig,KUMJRRW320ACDC,RAZOR 320 ACDC,GASREP,https://gasrep.com.au/shop/welders/tig-welders/ac-dc-tig-welders/unimig-kumjrrw320acdc-razor-digital-320-ac-dc-tig-mma-digital-inverter-welder/,"4,075.00",
Unimig,U31006,VIPER ARC 140,GASREP,,,
Unimig,U13002K,RAZOR ARC 160 PFC,GASREP,https://gasrep.com.au/shop/welders/mma-arc-welders/unimig-razor-u13002k-arc-pfc/,829.00,
Unimig,KUMJRRW180CA,NOT ANALYSED SUBSEQUENTLY,GASREP,,,
Unimig,U13005,NEW RAZOR ARC 180,GASREP,,,
Unimig,U13003K,RAZOR ARC 200 PFC,GASREP,https://gasrep.com.au/shop/welders/mma-arc-welders/unimig-razor-u13003k-arc-welder-pfc/,939.00,
Unimig,U13004,RAZOR ARC 140,GASREP,,,
Unimig,U14005K,VIPER CUT 30 MK 2,GASREP,,,
Unimig,U14001K,RAZOR CUT 40,GASREP,https://gasrep.com.au/shop/plasma-cutters-spares/plasma-cutters/unimig-razor-cut-40-air-plasma-cutter-u14001k/,"2,129.00",
Unimig,U14006K,RAZOR CUT 45,GASREP,,,
Unimig,U14007,RAZOR CUT 45 PLASMA CUTTER AIR COMPRESSOR,GASREP,,,
Unimig,KUPJRRW80,RAZOR CUT 80,GASREP,https://gasrep.com.au/shop/plasma-cutters-spares/plasma-cutters/unimig-kupjrrw80-razorcut-80-plasma-cutter/,"2,305.00",
Unimig,U14004K,RAZOR CUT 120,GASREP,https://gasrep.com.au/shop/plasma-cutters-spares/plasma-cutters/unimig-razor-cut-120-plasma-cutter-u14002k/,"4,464.00",
Unimig,U14004K,RAZOR CUT 160,GASREP,,,
Unimig,KUM27,WORKSHOP 270,GASREP,https://gasrep.com.au/shop/welders/mig-welders/single-phase/unimig-kum270-workshop-270-mig-welder/,"4,139.00",
Unimig,KUM270SWF,WORKSHOP 270 SWF,GASREP,https://gasrep.com.au/shop/welders/mig-welders/single-phase/unimig-kum270swf-workshop-270-swf-mig-welder/,"5,489.00",
Unimig,KUM390,WORKSHOP 390,GASREP,https://gasrep.com.au/shop/welders/mig-welders/three-phase/unimig-kum390-workshop-390-mig-welder/,"4,739.00",
Unimig,KUM390SWF,WORKSHOP 390 SWF,GASREP,http://gasrep.com.au/shop/welders/mig-welders/three-phase/unimig-kum390swf-workshop-390-swf-mig-welder/,,
KUM390S/D,WORKSHOP 390 SWF DUAL VOLTAGE,WORKSHOP 390 SWF,GASREP,,,
KUM390S/D,KUM425SWF,WORKSHOP 425 SWF,GASREP,,,
KUM390S/D,U11119,EVOLVE MULTI 400,GASREP,,,
KUM390S/D,U11142,EVOLVE MULTI 500,GASREP,,,
