BRAND,PRODUCT SKU,PRODUCT NAME,Shop Name,PRODUCT LINK,Price,Price_Bundle
Unimig,U11005K,VIPER 135,GASWELD TOOLS,https://www.gasweld.com.au/unimig-u11005k-viper-multi-135-mig-tig-stick-electric-welder ,399.00,
Unimig,U11006K,VIPER 165,GASWELD TOOLS,,,
Unimig,KUMJRVM185,VIPER 185,GASWELD TOOLS,https://www.gasweld.com.au/welder-viper-185-mig-tig-mma-10-duty-cycle-3-in-1-machine-10amp-plug-kumjrvm185-uni,979.00,
Unimig,U11011,VIPER 195,GASWELD TOOLS,https://www.gasweld.com.au/unimig-u11011-viper-multi-195-max-mig-tig-stick-welder,"1,249.00",
Unimig,U11003K,RAZOR 200 PULSE,GASWELD TOOLS,https://www.gasweld.com.au/unimig-u11003k-razor-200-pulse-mig-tig-stick-welder-kit,"2,699.00",
Unimig,U11004K,RAZOR 230,GASWELD TOOLS,https://www.gasweld.com.au/unimig-u11004k-razor-multi-230-4-in-1-welder-ac-dc-tig-mig-stick,"2,495.00",
Unimig,U11007K,RAZOR MULTI 175,GASWELD TOOLS,https://www.gasweld.com.au/unimig-u11007k-240v-razor-3-in-1-multi-175-mig-tig-stick-welder,"1,355.00",
Unimig,U11012,RAZOR MULTI 200 PFC,GASWELD TOOLS,,,
Unimig,U11008K,RAZOR MULTI 220,GASWELD TOOLS,https://www.gasweld.com.au/unimig-u11008k-240v-razor-3-in-1-multi-220-mig-tig-stick-welder,"1,665.00",
Unimig,U11009K,RAZOR MULTI 250,GASWELD TOOLS,,,
Unimig,U11010K,RAZOR COMPACT 250,GASWELD TOOLS,,,
Unimig,KUMJR350K-SG,RAZOR COMPACT 350 (OLD),GASWELD TOOLS,https://www.gasweld.com.au/unimig-super-kit-350-kumjr350-c-hammer-gloves-helmet-etc-kumjr350k-sg-uni,"3,445.00",
Unimig,KUMJR250SWF,RAZOR 250 SWF,GASWELD TOOLS,,,
Unimig,KUMJR350SWF,RAZOR 350 SWF,GASWELD TOOLS,,,
Unimig,KUMJRRW500SWF,RAZOR 500 SWF,GASWELD TOOLS,,,
Unimig,U12004,RAZOR TIG 200 ACDC WATER COOLER,GASWELD TOOLS,https://www.gasweld.com.au/unimig-u12004-razor-tig-200-ac-dc-water-cooler,"1,389.00",
Unimig,U12002K,RAZOR TIG 200 ACDC,GASWELD TOOLS,https://www.gasweld.com.au/unimig-u12002k-razor-tig-200-ac-dc-welder,"1,999.00",
Unimig,U12003K,RAZOR TIG 220 DC,GASWELD TOOLS,,,
Unimig,KUMJRRW320ACDC,RAZOR 320 ACDC,GASWELD TOOLS,,,
Unimig,U31006,VIPER ARC 140,GASWELD TOOLS,https://www.gasweld.com.au/viper-arc-140-dc-inverter-c-w-kumjrva140-uni,519.00,
Unimig,U13002K,RAZOR ARC 160 PFC,GASWELD TOOLS,,,
Unimig,KUMJRRW180CA,NOT ANALYSED SUBSEQUENTLY,GASWELD TOOLS,,,
Unimig,U13005,NEW RAZOR ARC 180,GASWELD TOOLS,https://www.gasweld.com.au/unimig-u13005-razor-arc-180-stick-welder,575.00,
Unimig,U13003K,RAZOR ARC 200 PFC,GASWELD TOOLS,,,
Unimig,U13004,RAZOR ARC 140,GASWELD TOOLS,https://www.gasweld.com.au/unimig-u13004-razor-arc-140-stick-welder,519.00,
Unimig,U14005K,VIPER CUT 30 MK 2,GASWELD TOOLS,https://www.gasweld.com.au/unimig-u14005k-viper-cut-30-mk-ii-plasma-cutter,779.00,
Unimig,U14001K,RAZOR CUT 40,GASWELD TOOLS,https://www.gasweld.com.au/razor-cut-40-air-plasma-cutter,"1,999.00",
Unimig,U14006K,RAZOR CUT 45,GASWELD TOOLS,https://www.gasweld.com.au/unimig-u14006k-razor-cut-45-plasma-cutter,"1,715.00",
Unimig,U14007,RAZOR CUT 45 PLASMA CUTTER AIR COMPRESSOR,GASWELD TOOLS,https://www.gasweld.com.au/unimig-u14007-750w-razor-cut-45-air-compressor,350.00,
Unimig,KUPJRRW80,RAZOR CUT 80,GASWELD TOOLS,https://www.gasweld.com.au/unimig-razor-cut-80-plasma-cutter-cutting-capacity-30mm-kupjrrw80-uni,"2,305.00",
Unimig,U14004K,RAZOR CUT 120,GASWELD TOOLS,https://www.gasweld.com.au/unimig-u14002k-razor-cut-120-plasma-cutter,"4,209.00",
Unimig,U14004K,RAZOR CUT 160,GASWELD TOOLS,,,
Unimig,KUM27,WORKSHOP 270,GASWELD TOOLS,,,
Unimig,KUM270SWF,WORKSHOP 270 SWF,GASWELD TOOLS,https://www.gasweld.com.au/kum270swf-unimig,"5,179.00",
Unimig,KUM390,WORKSHOP 390,GASWELD TOOLS,,,
Unimig,KUM390SWF,WORKSHOP 390 SWF,GASWELD TOOLS,,,
KUM390S/D,WORKSHOP 390 SWF DUAL VOLTAGE,WORKSHOP 390 SWF,GASWELD TOOLS,,,
KUM390S/D,KUM425SWF,WORKSHOP 425 SWF,GASWELD TOOLS,,,
KUM390S/D,U11119,EVOLVE MULTI 400,GASWELD TOOLS,,,
KUM390S/D,U11142,EVOLVE MULTI 500,GASWELD TOOLS,,,
