BRAND,PRODUCT SKU,PRODUCT NAME,Shop Name,PRODUCT LINK,Price,Price_Bundle
Unimig,U11005K,VIPER 135,KENNEDY'S WELDING SUPPLIES,https://www.kennedys.com.au/products/viper-multi-135-mig-tig-stick-welder?_pos=1&_sid=90c9c92ba&_ss=r,399.00 ,
Unimig,U11006K,VIPER 165,KENNEDY'S WELDING SUPPLIES,https://www.kennedys.com.au/products/unimig-viper-multi-165-mig-stick-tig?_pos=2&_sid=3aaf1917d&_ss=r,749.00 ,
Unimig,KUMJRVM185,VIPER 185,KENNEDY'S WELDING SUPPLIES,https://www.kennedys.com.au/products/unimig-viper-185a-multi-process-electric-welder-kumjrvm185?_pos=3&_sid=b96a4efe3&_ss=r,979.00 ,
Unimig,U11011,VIPER 195,KENNEDY'S WELDING SUPPLIES,https://www.kennedys.com.au/products/viper-multi-195-max-mig-tig-stick-welder?_pos=1&_sid=5a2fb7b4b&_ss=r,"1,249.00 ",
Unimig,U11003K,RAZOR 200 PULSE,KENNEDY'S WELDING SUPPLIES,https://www.kennedys.com.au/products/unimig-pulse-mig-includes-wire-and-consumable-kit,"2,699.00 ",
Unimig,U11004K,RAZOR 230,KENNEDY'S WELDING SUPPLIES,https://www.kennedys.com.au/products/unimig-razor-230-ac-dc-mig-tig-stick-welder,"2,495.00 ",
Unimig,U11007K,RAZOR MULTI 175,KENNEDY'S WELDING SUPPLIES,https://www.kennedys.com.au/products/unimig-razor-175a-multi-process-3-in-1-welder-u11007k,"1,355.00 ",
Unimig,U11012,RAZOR MULTI 200 PFC,KENNEDY'S WELDING SUPPLIES,,,
Unimig,U11008K,RAZOR MULTI 220,KENNEDY'S WELDING SUPPLIES,https://www.kennedys.com.au/products/razor-multi-220-welder-new-generation,"1,764.00 ",
Unimig,U11009K,RAZOR MULTI 250,KENNEDY'S WELDING SUPPLIES,,,
Unimig,U11010K,RAZOR COMPACT 250,KENNEDY'S WELDING SUPPLIES,https://www.kennedys.com.au/products/razor-compact-250-welder-new-gen,"2,754.00 ",
