BRAND,PRODUCT SKU,PRODUCT NAME,Shop Name,PRODUCT LINK,Price,Price_Bundle
Unimig,U11005K,VIPER 135,METRO WELDER SERVICE,,,
Unimig,U11006K,VIPER 165,METRO WELDER SERVICE,https://metweld.com.au/viper-multi-165-welder/,749.00,
Unimig,KUMJRVM185,VIPER 185,METRO WELDER SERVICE,https://metweld.com.au/viper-185-mig-tig-stick-welder/,999.00,
Unimig,U11011,VIPER 195,METRO WELDER SERVICE,https://metweld.com.au/viper-multi-195-max-mig-tig-stick-welder/,"1,299.00",
Unimig,U11003K,RAZOR 200 PULSE,METRO WELDER SERVICE,https://metweld.com.au/razor-200-pulse-mig-tig-stick-welder/,"2,699.00",
Unimig,U11004K,RAZOR 230,METRO WELDER SERVICE,https://metweld.com.au/razor-multi-230-ac-dc-mig-tig-stick-welder/,"2,495.00",
Unimig,U11007K,RAZOR MULTI 175,METRO WELDER SERVICE,https://metweld.com.au/razor-multi-175-welder/,"1,439.00",
Unimig,U11008K,RAZOR MULTI 220,METRO WELDER SERVICE,https://metweld.com.au/razor-multi-220-welder/,"1,764.00",
Unimig,U11009K,RAZOR MULTI 250,METRO WELDER SERVICE,https://metweld.com.au/razor-multi-250-welder/,"2,429.00",
Unimig,U11010K,RAZOR COMPACT 250,METRO WELDER SERVICE,https://metweld.com.au/razor-compact-250-welder/,"2,754.00",
Unimig,KUMJR350K-SG,RAZOR COMPACT 350 (OLD),METRO WELDER SERVICE,,,
Unimig,KUMJR250SWF,RAZOR 250 SWF,METRO WELDER SERVICE,,,
Unimig,KUMJR350SWF,RAZOR 350 SWF,METRO WELDER SERVICE,https://metweld.com.au/razor-350-swf-mig-tig-stick-welder/,"5,089.00",
Unimig,KUMJRRW500SWF,RAZOR 500 SWF,METRO WELDER SERVICE,https://metweld.com.au/razor-500-swf-mig-tig-stick-welder/,"5,825.00",
Unimig,U12004,RAZOR TIG 200 ACDC WATER COOLER,METRO WELDER SERVICE,https://metweld.com.au/razor-tig-200-ac-dc-water-cooler/,"1,533.99",
Unimig,U12002K,RAZOR TIG 200 ACDC,METRO WELDER SERVICE,https://metweld.com.au/razor-tig-200-ac-dc-welder/,"2,204.00",
Unimig,U12003K,RAZOR TIG 220 DC,METRO WELDER SERVICE,,,
Unimig,KUMJRRW320ACDC,RAZOR 320 ACDC,METRO WELDER SERVICE,,,
Unimig,U31006,VIPER ARC 140,METRO WELDER SERVICE,,,
Unimig,U13002K,RAZOR ARC 160 PFC,METRO WELDER SERVICE,https://metweld.com.au/razor-arc-160-pfc-welder/,,
Unimig,KUMJRRW180CA,NOT ANALYSED SUBSEQUENTLY,METRO WELDER SERVICE,,,
Unimig,U13005,NEW RAZOR ARC 180,METRO WELDER SERVICE,https://metweld.com.au/razor-arc-180-welder/,609.00,
Unimig,U13003K,RAZOR ARC 200 PFC,METRO WELDER SERVICE,https://metweld.com.au/razor-arc-200-pfc-welder/,,
Unimig,U13004,RAZOR ARC 140,METRO WELDER SERVICE,https://metweld.com.au/razor-arc-140-welder/,554.00,
Unimig,U14005K,VIPER CUT 30 MK 2,METRO WELDER SERVICE,https://metweld.com.au/viper-cut-30-mk-ii/,799.00,
Unimig,U14001K,RAZOR CUT 40,METRO WELDER SERVICE,,,
Unimig,U14006K,RAZOR CUT 45,METRO WELDER SERVICE,https://metweld.com.au/razor-cut-45-plasma-cutter/,"1,819.00",
Unimig,U14007,RAZOR CUT 45 PLASMA CUTTER AIR COMPRESSOR,METRO WELDER SERVICE,https://metweld.com.au/razor-cut-45-plasma-cutter-air-compressor/,385.00,
Unimig,KUPJRRW80,RAZOR CUT 80,METRO WELDER SERVICE,https://metweld.com.au/razor-cut-80-plasma-cutter/,"2,305.00",
Unimig,U14004K,RAZOR CUT 120,METRO WELDER SERVICE,https://metweld.com.au/razor-cut-120-plasma-cutter/,"4,464.00",
Unimig,U14004K,RAZOR CUT 160,METRO WELDER SERVICE,,,
Unimig,KUM27,WORKSHOP 270,METRO WELDER SERVICE,,,
Unimig,KUM270SWF,WORKSHOP 270 SWF,METRO WELDER SERVICE,,,
Unimig,KUM390,WORKSHOP 390,METRO WELDER SERVICE,,,
Unimig,KUM390SWF,WORKSHOP 390 SWF,METRO WELDER SERVICE,,,
KUM390S/D,WORKSHOP 390 SWF DUAL VOLTAGE,WORKSHOP 390 SWF,METRO WELDER SERVICE,,,
KUM390S/D,KUM425SWF,WORKSHOP 425 SWF,METRO WELDER SERVICE,,,
KUM390S/D,U11119,EVOLVE MULTI 400,METRO WELDER SERVICE,,,
KUM390S/D,U11142,EVOLVE MULTI 500,METRO WELDER SERVICE,,,
