BRAND,PRODUCT SKU,PRODUCT NAME,Shop Name,PRODUCT LINK,Note,BUNDLE LINK,Comment,Price,Price_Bundle
Unimig,U11005K,VIPER 135,NATIONAL WELDING,https://www.nationalwelding.com.au/unimig-viper-multi-135-mig-tig-stick-welder-u11005,,,,355,
Unimig,U11006K,VIPER 165,NATIONAL WELDING,https://www.nationalwelding.com.au/unimig-viper-multi-165-mig-tig-stick-welder-u11006?srsltid=AfmBOoqlpq2Spz4dpgZfu4jpqjV4pUue_pe0I4ZABllL3Ob-QFqHTtWW,,,,645,
Unimig,U11006K,VIPER 165,NATIONAL WELDING EBAY,https://www.ebay.com.au/itm/235476680876?_skw=viper+165&epid=7061418572&itmmeta=01JJ1R90CMX8KRGR3006RTC6AJ&hash=item36d38100ac:g:8OoAAOSwsnFmC7NQ:sc:AU_FastwayCouriers!2190!AU!-1 ,,,,,
Unimig,KUMJRVM185,VIPER 185,NATIONAL WELDING,https://www.nationalwelding.com.au/unimig-viper-185-mig-tig-stick-welder-kumjrvm185,,,,879,
Unimig,KUMJRVM185,VIPER 185,NATIONAL WELDING EBAY,https://www.ebay.com.au/itm/235476680876?chn=ps&_ul=AU&_trkparms=ispr%3D1&amdata=enc%3A1-45vHEyPTaKxTLUqiDeSCA11&norover=1&mkevt=1&mkrid=705-139619-5960-0&mkcid=2&mkscid=101&itemid=235476680876&targetid=2344112747490&device=c&mktype=pla&googleloc=9071886&poi=&campaignid=21179257105&mkgroupid=169591878707&rlsatarget=pla-2344112747490&abcId=9404035&merchantid=115493569&gad_source=1&gclid=CjwKCAjw0aS3BhA3EiwAKaD2ZbBzvn3ImG-Gm_02YXVhhzKsBCG9bu6BSyLeUsPCK1VwKP6i1qOWSBoC0mIQAvD_BwE,,,,,
Unimig,U11011,VIPER 195,NATIONAL WELDING,https://www.nationalwelding.com.au/unimig-viper-multi-195-max-welder-u11011?srsltid=AfmBOorwGPQVjdFtBS0Lq0iL7htZ-DDhidL9QyhL-g0rKZeX8E4gN9Vm,,,,1049,
Unimig,U11004K,RAZOR 230,NATIONAL WELDING,https://www.nationalwelding.com.au/unimig-razor-multi-230-ac-dc-mig-tig-stick-welder?srsltid=AfmBOorGPYJE9oyrHZzBEJD7xUN2BGcxwh5V_3zjWZgXiCz6dvrLrIeI,,,,2495,
Unimig,U11007K,RAZOR MULTI 175,NATIONAL WELDING,https://www.nationalwelding.com.au/unimig-razor-175-multi-mig-tig-stick-welder-u11007?srsltid=AfmBOooKH_tyUSwowtuEXHOkr2t8b_UpQeYuomj1cPi-30necfNgvJlr,,,,1355,
Unimig,U11012,RAZOR MULTI 200 PFC,NATIONAL WELDING,https://www.nationalwelding.com.au/razor-multi-200-pfc-welder-unimig-u11012,,,,1975,
Unimig,U11012,RAZOR MULTI 200 PFC,NATIONAL WELDING EBAY,,,,,,
Unimig,U11008K,RAZOR MULTI 220,NATIONAL WELDING,https://www.nationalwelding.com.au/unimig-razor-multi-220-welder-u11008k?srsltid=AfmBOooZVJhAKFosqHqcjWogCcG5iRTFT5SbTbYjgIWbHwAlgJYwnB-X,,,,1665,
Unimig,U11008K,RAZOR MULTI 220,NATIONAL WELDING EBAY,https://www.ebay.com.au/itm/235306497164?epid=14063877950&itmmeta=01J40WSS4ZJ9HVW5C5CTPW0PQQ&hash=item36c95c348c:g:~aMAAOSwyptmC7ZW:sc:AU_FastwayCouriers!2190!AU!-1,,,,,
Unimig,U11009K,RAZOR MULTI 250,NATIONAL WELDING,,,,,,
Unimig,U11009K,RAZOR MULTI 250,NATIONAL WELDING EBAY,https://www.ebay.com.au/itm/235527709141?itmmeta=01J40WXB726Y7KHB125DDA9ATH&hash=item36d68ba1d5:g:LgwAAOSwZ49mIc4o:sc:AU_FastwayCouriers!2190!AU!-1,,,,,
Unimig,U11010K,RAZOR COMPACT 250,NATIONAL WELDING,https://www.nationalwelding.com.au/unimig-razor-compact-250-welder-u11010k,,,,2599,
Unimig,U11010K,RAZOR COMPACT 250,NATIONAL WELDING EBAY,,,,,,
Unimig,KUMJR350K-SG,RAZOR COMPACT 350 (OLD),NATIONAL WELDING,https://www.nationalwelding.com.au/unimig-350-compact-mig-inverter-welder-multifuncti,,,,3445,
Unimig,KUMJR350K-SG,RAZOR COMPACT 350 (OLD),NATIONAL WELDING EBAY,,,,,,
Unimig,KUMJR250SWF,RAZOR 250 SWF,NATIONAL WELDING,,,,,,
Unimig,KUMJR250SWF,RAZOR 250 SWF,NATIONAL WELDING EBAY,,,,,,
Unimig,KUMJR350SWF,RAZOR 350 SWF,NATIONAL WELDING,https://www.nationalwelding.com.au/unimig-350mig-swf-mig-tig-mma-kumjr350swf~33467?srsltid=AfmBOopwBibHPZCIuPZXZCE921DBRM7RICDc4ng1rReho1unOlJKFCdR,,,,1,
Unimig,KUMJR350SWF,RAZOR 350 SWF,NATIONAL WELDING EBAY,,,,,,
Unimig,KUMJRRW500SWF,RAZOR 500 SWF,NATIONAL WELDING,https://www.nationalwelding.com.au/unimig-500swf-mig-welding-machine-mig-tig-mma-kumj?srsltid=AfmBOorHssRrHRPI0BGtH1kqvomsHEMQviNv1jJ9cVBLbLOLMRxHyh4X,,,,5500,
Unimig,KUMJRRW500SWF,RAZOR 500 SWF,NATIONAL WELDING EBAY,,,,,,
Unimig,U12004,RAZOR TIG 200 ACDC WATER COOLER,NATIONAL WELDING,https://www.nationalwelding.com.au/razor-tig-200-ac-dc-water-cooler-only-unimig-u1200?srsltid=AfmBOoox_we1sK_SusHqT-FSbvGkdeRXLf3Nfo88mUCswN0CpBW2G8Oo,,,,1445,
Unimig,U12004,RAZOR TIG 200 ACDC WATER COOLER,NATIONAL WELDING EBAY,,,,,,
Unimig,NATIONAL WELDING IS CHEAPER,RAZOR TIG 200 ACDC,NATIONAL WELDING,https://www.nationalwelding.com.au/unimig-razor-tig-200-ac-dc-welder-u12002k?srsltid=AfmBOorBuIMObq9g0ST-0JaEArmmMWbz3t9uph9QhbrXFFzSDAp4fe4s,,,,1899,
Unimig,NATIONAL WELDING IS CHEAPER,RAZOR TIG 200 ACDC,NATIONAL WELDING EBAY,https://www.ebay.com.au/itm/235527710741?_skw=razor+tig+200+acdc&itmmeta=01JJ48N6J9QSFW1DNKMH6AVRNF&hash=item36d68ba815:g:J7sAAOSwwdRmIc2n:sc:AU_FastwayCouriers!2190!AU!-1 ,,,,,
Unimig,U12003K,RAZOR TIG 220 DC,NATIONAL WELDING,https://www.nationalwelding.com.au/razor-tig-220-dc-welder-unimig-u12003k,,,,1615,
Unimig,U12003K,RAZOR TIG 220 DC,NATIONAL WELDING EBAY,https://www.ebay.com.au/itm/235034739951?srsltid=AfmBOopgE3XtP82kCSZEL5NYDFAIrml2NqX4vo5K6WuFRF4mxeN1N8R-,,,,,
Unimig,KUMJRRW320ACDC,RAZOR 320 ACDC,NATIONAL WELDING,https://www.nationalwelding.com.au/unimig-tig-320-amps-ac-dc-razor-tig-welder-kumjrrw?srsltid=AfmBOopE2NVTCl22s2lv-QLrgROvU3CjuGu-R1sQzIn0dQyv9QAvOmGW,,,,4075,
Unimig,KUMJRRW320ACDC,RAZOR 320 ACDC,NATIONAL WELDING EBAY,https://www.ebay.com.au/itm/235527709388?_nkw=razor+320+acdc&itmmeta=01J69S2YAFZTR7XM0MRB7JWMTH&hash=item36d68ba2cc:g:nLIAAOSwWlxmIczr:sc:AU_FastwayCouriers!2190!AU!-1,,,,,
Unimig,U31006,VIPER ARC 140,NATIONAL WELDING,https://www.nationalwelding.com.au/unimig-viper-140-arc-stick-140amps-welder-razor-ku?srsltid=AfmBOorbf3lWvrXF_pN_OD_C6Y5AyCYgfwoKNYjfrLE-L5he5N6xtBQv,2X LINKS,https://www.nationalwelding.com.au/viper-arc-140-stick-tig-welder-unimig-u31006?srsltid=AfmBOooZA5b-MNSLj6GMuGlagQ3-UpZE4PY7fIiBByLpCW1enCcz_acR,,285,285
