BRAND,PRODUCT SKU,PRODUCT NAME,Shop Name,PRODUCT LINK,Price,Price_Bundle
Unimig,U11006K,VIPER 165,NATIONAL WELDING EBAY,https://www.ebay.com.au/itm/235476680876?_skw=viper+165&epid=7061418572&itmmeta=01JJ1R90CMX8KRGR3006RTC6AJ&hash=item36d38100ac:g:8OoAAOSwsnFmC7NQ:sc:AU_FastwayCouriers!2190!AU!-1 ,,
Unimig,KUMJRVM185,VIPER 185,NATIONAL WELDING EBAY,https://www.ebay.com.au/itm/235476680876?chn=ps&_ul=AU&_trkparms=ispr%3D1&amdata=enc%3A1-45vHEyPTaKxTLUqiDeSCA11&norover=1&mkevt=1&mkrid=705-139619-5960-0&mkcid=2&mkscid=101&itemid=235476680876&targetid=2344112747490&device=c&mktype=pla&googleloc=9071886&poi=&campaignid=21179257105&mkgroupid=169591878707&rlsatarget=pla-2344112747490&abcId=9404035&merchantid=115493569&gad_source=1&gclid=CjwKCAjw0aS3BhA3EiwAKaD2ZbBzvn3ImG-Gm_02YXVhhzKsBCG9bu6BSyLeUsPCK1VwKP6i1qOWSBoC0mIQAvD_BwE,,
Unimig,U11012,RAZOR MULTI 200 PFC,NATIONAL WELDING EBAY,,,
Unimig,U11008K,RAZOR MULTI 220,NATIONAL WELDING EBAY,https://www.ebay.com.au/itm/235306497164?epid=14063877950&itmmeta=01J40WSS4ZJ9HVW5C5CTPW0PQQ&hash=item36c95c348c:g:~aMAAOSwyptmC7ZW:sc:AU_FastwayCouriers!2190!AU!-1,,
Unimig,U11009K,RAZOR MULTI 250,NATIONAL WELDING EBAY,https://www.ebay.com.au/itm/235527709141?itmmeta=01J40WXB726Y7KHB125DDA9ATH&hash=item36d68ba1d5:g:LgwAAOSwZ49mIc4o:sc:AU_FastwayCouriers!2190!AU!-1,,
Unimig,U11010K,RAZOR COMPACT 250,NATIONAL WELDING EBAY,,,
Unimig,KUMJR350K-SG,RAZOR COMPACT 350 (OLD),NATIONAL WELDING EBAY,,,
Unimig,KUMJR250SWF,RAZOR 250 SWF,NATIONAL WELDING EBAY,,,
Unimig,KUMJR350SWF,RAZOR 350 SWF,NATIONAL WELDING EBAY,,,
Unimig,KUMJRRW500SWF,RAZOR 500 SWF,NATIONAL WELDING EBAY,,,
Unimig,U12004,RAZOR TIG 200 ACDC WATER COOLER,NATIONAL WELDING EBAY,,,
Unimig,U12002K,RAZOR TIG 200 ACDC,NATIONAL WELDING EBAY,https://www.ebay.com.au/itm/235527710741?_skw=razor+tig+200+acdc&itmmeta=01JJ48N6J9QSFW1DNKMH6AVRNF&hash=item36d68ba815:g:J7sAAOSwwdRmIc2n:sc:AU_FastwayCouriers!2190!AU!-1 ,,
Unimig,U12003K,RAZOR TIG 220 DC,NATIONAL WELDING EBAY,https://www.ebay.com.au/itm/235034739951?srsltid=AfmBOopgE3XtP82kCSZEL5NYDFAIrml2NqX4vo5K6WuFRF4mxeN1N8R-,,
Unimig,KUMJRRW320ACDC,RAZOR 320 ACDC,NATIONAL WELDING EBAY,https://www.ebay.com.au/itm/235527709388?_nkw=razor+320+acdc&itmmeta=01J69S2YAFZTR7XM0MRB7JWMTH&hash=item36d68ba2cc:g:nLIAAOSwWlxmIczr:sc:AU_FastwayCouriers!2190!AU!-1,,
Unimig,U31006,VIPER ARC 140,NATIONAL WELDING EBAY,,,
Unimig,U13002K,RAZOR ARC 160 PFC,NATIONAL WELDING EBAY,,,
Unimig,KUMJRRW180CA,NOT ANALYSED SUBSEQUENTLY,NATIONAL WELDING EBAY,,,
Unimig,U13005,NEW RAZOR ARC 180,NATIONAL WELDING EBAY,https://www.ebay.com.au/itm/235810004578?_skw=razor+arc+180&itmmeta=01JBVBXRDT11BJ5HB1FC2SQZ3W&hash=item36e75f1e62:g:sQsAAOSwPFZnIrUZ:sc:AU_FastwayCouriers!2190!AU!-1,,
Unimig,U13003K,RAZOR ARC 200 PFC,NATIONAL WELDING EBAY,,,
Unimig,U13004,RAZOR ARC 140,NATIONAL WELDING EBAY,,,
Unimig,U14005K,VIPER CUT 30 MK 2,NATIONAL WELDING EBAY,,,
Unimig,U14001K,RAZOR CUT 40,NATIONAL WELDING EBAY,,,
Unimig,U14006K,RAZOR CUT 45,NATIONAL WELDING EBAY,,,
Unimig,U14007,RAZOR CUT 45 PLASMA CUTTER AIR COMPRESSOR,NATIONAL WELDING EBAY,,,
Unimig,KUPJRRW80,RAZOR CUT 80,NATIONAL WELDING EBAY,,,
Unimig,U14004K,RAZOR CUT 120,NATIONAL WELDING EBAY,,,
Unimig,U14004K,RAZOR CUT 160,NATIONAL WELDING EBAY,,,
Unimig,KUM27,WORKSHOP 270,NATIONAL WELDING EBAY,,,
Unimig,KUM270SWF,WORKSHOP 270 SWF,NATIONAL WELDING EBAY,,,
Unimig,KUM390,WORKSHOP 390,NATIONAL WELDING EBAY,,,
Unimig,KUM390SWF,WORKSHOP 390 SWF,NATIONAL WELDING EBAY,,,
KUM390S/D,WORKSHOP 390 SWF DUAL VOLTAGE,WORKSHOP 390 SWF,NATIONAL WELDING EBAY,,,
KUM390S/D,KUM425SWF,WORKSHOP 425 SWF,NATIONAL WELDING EBAY,,,
KUM390S/D,U11119,EVOLVE MULTI 400,NATIONAL WELDING EBAY,,,
KUM390S/D,U11142,EVOLVE MULTI 500,NATIONAL WELDING EBAY,,,
