BRAND,PRODUCT SKU,PRODUCT NAME,Shop Name,PRODUCT LINK,Note,BUNDLE LINK,Comment,Price,Price_Bundle
Unimig,U11005K,VIPER 135,PRIME SUPPLIES,,,,,,
Unimig,U11006K,VIPER 165,PRIME SUPPLIES,,,,,,
Unimig,U11011,VIPER 195,PRIME SUPPLIES,https://www.primesupplies.com.au/product/unimig-viper-multi-195-mig-max-welder/,,,,"1,351.00",
Unimig,U11003K,RAZOR 200 PULSE,PRIME SUPPLIES,https://www.primesupplies.com.au/product/mig-razor-200-pulse-bundle-pk11097/, ,https://www.primesupplies.com.au/product/razor-200-pulse-mig-bundle/, ,"2,843.00","2,768.00"
Unimig,U11004K,RAZOR 230,PRIME SUPPLIES,https://www.primesupplies.com.au/product/razor-multi-230-ac-dc-mig-tig-stick-welder-4-in-1/,,,,"2,349.00",
Unimig,U11007K,RAZOR MULTI 175,PRIME SUPPLIES,https://www.primesupplies.com.au/product/welder-unimig-razor-175-multi-process/,,,,"1,497.00",
Unimig,U11012,RAZOR MULTI 200 PFC,PRIME SUPPLIES,,,,,,
Unimig,U11008K,RAZOR MULTI 220,PRIME SUPPLIES,https://www.primesupplies.com.au/product/welder-unimig-razor-220/,,,,"1,835.00",
Unimig,U11009K,RAZOR MULTI 250,PRIME SUPPLIES,,,,,,
Unimig,U11010K,RAZOR COMPACT 250,PRIME SUPPLIES,,,,,,
Unimig,KUMJR350K-SG,RAZOR COMPACT 350 (OLD),PRIME SUPPLIES,,,,,,
Unimig,KUMJR250SWF,RAZOR 250 SWF,PRIME SUPPLIES,,,,,,
Unimig,KUMJR350SWF,RAZOR 350 SWF,PRIME SUPPLIES,,,,,,
Unimig,KUMJRRW500SWF,RAZOR 500 SWF,PRIME SUPPLIES,,,,,,
Unimig,U12004,RAZOR TIG 200 ACDC WATER COOLER,PRIME SUPPLIES,,,,,,
Unimig,NATIONAL WELDING IS CHEAPER,RAZOR TIG 200 ACDC,PRIME SUPPLIES,https://www.primesupplies.com.au/product/razor-tig-200-ac-dc-welder/ ,,,,"2,205.00",
Unimig,U12003K,RAZOR TIG 220 DC,PRIME SUPPLIES,,,,,,
Unimig,KUMJRRW320ACDC,RAZOR 320 ACDC,PRIME SUPPLIES,,,,,,
Unimig,U31006,VIPER ARC 140,PRIME SUPPLIES,https://www.primesupplies.com.au/product/welder-mig-unimig-viper-arc-dc-inverter-140amp/,,,,380.00,
Unimig,U13002K,RAZOR ARC 160 PFC,PRIME SUPPLIES,,,,,,
Unimig,KUMJRRW180CA,NOT ANALYSED SUBSEQUENTLY,PRIME SUPPLIES,,,,,,
Unimig,U13005,NEW RAZOR ARC 180,PRIME SUPPLIES,,,,,,
Unimig,U13003K,RAZOR ARC 200 PFC,PRIME SUPPLIES,,,,,,
Unimig,U13004,RAZOR ARC 140,PRIME SUPPLIES,,,,,,
Unimig,U14005K,VIPER CUT 30 MK 2,PRIME SUPPLIES,,,,,,
Unimig,U14001K,RAZOR CUT 40,PRIME SUPPLIES,,,,,,
Unimig,U14006K,RAZOR CUT 45,PRIME SUPPLIES,,,,,,
Unimig,U14007,RAZOR CUT 45 PLASMA CUTTER AIR COMPRESSOR,PRIME SUPPLIES,,,,,,
Unimig,KUPJRRW80,RAZOR CUT 80,PRIME SUPPLIES,,,,,,
Unimig,U14004K,RAZOR CUT 120,PRIME SUPPLIES,,,,,,
Unimig,U14004K,RAZOR CUT 160,PRIME SUPPLIES,,,,,,
Unimig,KUM27,WORKSHOP 270,PRIME SUPPLIES,,,,,,
Unimig,KUM270SWF,WORKSHOP 270 SWF,PRIME SUPPLIES,,,,,,
Unimig,KUM390,WORKSHOP 390,PRIME SUPPLIES,,,,,,
Unimig,KUM390SWF,WORKSHOP 390 SWF,PRIME SUPPLIES,,,,,,
KUM390S/D,WORKSHOP 390 SWF DUAL VOLTAGE,WORKSHOP 390 SWF,PRIME SUPPLIES,,,,,,
KUM390S/D,KUM425SWF,WORKSHOP 425 SWF,PRIME SUPPLIES,,,,,,
KUM390S/D,U11119,EVOLVE MULTI 400,PRIME SUPPLIES,https://www.primesupplies.com.au/product/unimig-evolve-400-pulse-mig-unit-with-water-cooler-compact/,pickup only,,,"9,499.00",
