BRAND,PRODUCT SKU,PRODUCT NAME,Shop Name,PRODUCT LINK,Price,Price_Bundle
Unimig,U11005K,VIPER 135,STAFFORD WELDING PRODUCTS,https://www.staffordwelding.com.au/products/viper-multi-135-mig-tig-stick-welder?_pos=1&_sid=e21b2c156&_ss=r,399,
Unimig,U11006K,VIPER 165,STAFFORD WELDING PRODUCTS,https://www.staffordwelding.com.au/products/viper-multi-165-mig-tig-stick-welder?_pos=1&_sid=a9ac631c1&_ss=r,729,
Unimig,KUMJRVM185,VIPER 185,STAFFORD WELDING PRODUCTS,https://www.staffordwelding.com.au/products/unimig-viper-185-mig-tig-stick-welder?_pos=1&_sid=90ec456ed&_ss=r,887,
Unimig,U11011,VIPER 195,STAFFORD WELDING PRODUCTS,https://www.staffordwelding.com.au/products/viper-multi-195-max?_pos=1&_sid=f27a64106&_ss=r,"1,249",
Unimig,U11003K,RAZOR 200 PULSE,STAFFORD WELDING PRODUCTS,https://www.staffordwelding.com.au/products/razor-200-pulse-mig-tig-stick-welder?_pos=1&_sid=4ffdc16c5&_ss=r,"2,699",
Unimig,U11004K,RAZOR 230,STAFFORD WELDING PRODUCTS,https://www.staffordwelding.com.au/products/razor-multi-230-mig-tig-stick-acdc-tig-4-in-1-welder?_pos=1&_sid=55d56b3e1&_ss=r,"2,495",
Unimig,U11007K,RAZOR MULTI 175,STAFFORD WELDING PRODUCTS,https://www.staffordwelding.com.au/products/razor-175-mig-stick-welder-bundle?_pos=1&_sid=e4b57219e&_ss=r,"1,299",
Unimig,U11012,RAZOR MULTI 200 PFC,STAFFORD WELDING PRODUCTS,,,
Unimig,U11008K,RAZOR MULTI 220,STAFFORD WELDING PRODUCTS,https://www.staffordwelding.com.au/products/razor-220-multi-mig-mig-stick-tig-new-model?_pos=1&_sid=6737ab392&_ss=r,"1,665",
Unimig,U11009K,RAZOR MULTI 250,STAFFORD WELDING PRODUCTS,https://www.staffordwelding.com.au/products/razor-250-mig-tig-stick-welder-1?_pos=1&_sid=976b441e6&_ss=r,"2,289",
Unimig,U11010K,RAZOR COMPACT 250,STAFFORD WELDING PRODUCTS,https://www.staffordwelding.com.au/products/razor-250-compact-mig-tig-stick-welder-on-wheels?_pos=1&_sid=d7f7f94fa&_ss=r,"2,499",
Unimig,KUMJR350K-SG,RAZOR COMPACT 350 (OLD),STAFFORD WELDING PRODUCTS,https://www.staffordwelding.com.au/products/unimig-razor-350-compact-mig-tig-stick-welder?_pos=1&_sid=13069f627&_ss=r,"3,445",
Unimig,KUMJR250SWF,RAZOR 250 SWF,STAFFORD WELDING PRODUCTS,https://www.staffordwelding.com.au/products/unimig-razor-250-swf-mig-tig-stick-welder?_pos=1&_sid=dc1e825f9&_ss=r,"4,600",
Unimig,KUMJR350SWF,RAZOR 350 SWF,STAFFORD WELDING PRODUCTS,https://www.staffordwelding.com.au/products/unimig-razor-350-swf-mig-tig-stick-welder?_pos=1&_sid=a06e17c60&_ss=r,"5,089",
Unimig,KUMJRRW500SWF,RAZOR 500 SWF,STAFFORD WELDING PRODUCTS,https://www.staffordwelding.com.au/products/unimig-razor-500-swf-mig-tig-stick-welder?_pos=1&_sid=c9bc47a5c&_ss=r,"5,600",
Unimig,U12004,RAZOR TIG 200 ACDC WATER COOLER,STAFFORD WELDING PRODUCTS,https://www.staffordwelding.com.au/products/razor-tig-200-ac-dc-water-cooler?_pos=2&_sid=16aa004a5&_ss=r,"1,534",
Unimig,U12002K,RAZOR TIG 200 ACDC,STAFFORD WELDING PRODUCTS,https://www.staffordwelding.com.au/products/razor-200-ac-dc-tig-stick-welder-new-model?_pos=2&_sid=b8802094e&_ss=r,"2,079",
Unimig,U12003K,RAZOR TIG 220 DC,STAFFORD WELDING PRODUCTS,https://www.staffordwelding.com.au/products/razor-tig-220-dc-only?_pos=3&_sid=c55db990e&_ss=r,"1,714",
Unimig,KUMJRRW320ACDC,RAZOR 320 ACDC,STAFFORD WELDING PRODUCTS,https://www.staffordwelding.com.au/products/unimig-razor-320-ac-dc-tig-stick-welder?_pos=1&_sid=f84a19582&_ss=r,"3,915",
Unimig,U31006,VIPER ARC 140,STAFFORD WELDING PRODUCTS,https://www.staffordwelding.com.au/products/unimig-viper-arc-140-stick-welder?_pos=1&_sid=bc643a2da&_ss=r,299,
Unimig,U13002K,RAZOR ARC 160 PFC,STAFFORD WELDING PRODUCTS,,,
Unimig,KUMJRRW180CA,NOT ANALYSED SUBSEQUENTLY,STAFFORD WELDING PRODUCTS,,,
Unimig,U13005,NEW RAZOR ARC 180,STAFFORD WELDING PRODUCTS,,,
Unimig,U13003K,RAZOR ARC 200 PFC,STAFFORD WELDING PRODUCTS,,,
Unimig,U13004,RAZOR ARC 140,STAFFORD WELDING PRODUCTS,,,
Unimig,U14005K,VIPER CUT 30 MK 2,STAFFORD WELDING PRODUCTS,https://www.staffordwelding.com.au/products/viper-cut-30-mk-ii-plasma-cutter?_pos=1&_sid=ccd0559df&_ss=r,710,
Unimig,U14001K,RAZOR CUT 40,STAFFORD WELDING PRODUCTS,https://www.staffordwelding.com.au/products/razor-cut-40-air-plasma-cutter?_pos=4&_sid=4db182443&_ss=r,"1,998",
Unimig,U14006K,RAZOR CUT 45,STAFFORD WELDING PRODUCTS,https://www.staffordwelding.com.au/products/unimig-razor-cut-45-new-model?_pos=1&_sid=25303e31b&_ss=r,"1,715",
Unimig,U14007,RAZOR CUT 45 PLASMA CUTTER AIR COMPRESSOR,STAFFORD WELDING PRODUCTS,https://www.staffordwelding.com.au/products/razor-cut-45-plasma-cutter-air-compressor?_pos=1&_sid=de50daa70&_ss=r,365,
Unimig,KUPJRRW80,RAZOR CUT 80,STAFFORD WELDING PRODUCTS,https://www.staffordwelding.com.au/products/unimig-razor-cut-80-plasma-cutter?_pos=1&_sid=3771dc926&_ss=r,"2,305",
Unimig,U14004K,RAZOR CUT 120,STAFFORD WELDING PRODUCTS,https://www.staffordwelding.com.au/products/razor-cut-120-plasma-cutter?_pos=1&_sid=1a09de40b&_ss=r,"4,209",
Unimig,U14004K,RAZOR CUT 160,STAFFORD WELDING PRODUCTS,,,
