BRAND,PRODUCT SKU,PRODUCT NAME,Shop Name,PRODUCT LINK,Price,Price_Bundle
Unimig,U11005K,VIPER 135,SUPERCHEAP AUTO,https://www.supercheapauto.com.au/p/unimig-unimig-viper-multi-135-multiprocess-welder/678406.html,399.00,
Unimig,U11006K,VIPER 165,SUPERCHEAP AUTO,https://www.supercheapauto.com.au/p/unimig-unimig-viper-multi-165-multiprocess-welder/678407.html ,,
Unimig,KUMJRVM185,VIPER 185,SUPERCHEAP AUTO,https://www.supercheapauto.com.au/p/unimig-unimig-viper-185-multiprocess-welder/678408.html,939.00,
Unimig,U11011,VIPER 195,SUPERCHEAP AUTO,https://www.supercheapauto.com.au/p/unimig-viper-multi-195-max-welder/SPO9967524.html,"1,249.00",
Unimig,U11003K,RAZOR 200 PULSE,SUPERCHEAP AUTO,https://www.supercheapauto.com.au/p/unimig-razor-200-pulse-mig-tig-stick-welder/SPO9967436.html,"2,699.00",
Unimig,U11007K,RAZOR MULTI 175,SUPERCHEAP AUTO,https://www.supercheapauto.com.au/p/unimig-razor-multi-175-welder/SPO9967449.html,"1,379.00",
Unimig,U11012,RAZOR MULTI 200 PFC,SUPERCHEAP AUTO,,,
Unimig,U11008K,RAZOR MULTI 220,SUPERCHEAP AUTO, https://www.supercheapauto.com.au/p/unimig-razor-multi-220-welder/SPO9967488.html,,
Unimig,U11009K,RAZOR MULTI 250,SUPERCHEAP AUTO,,,
Unimig,U11010K,RAZOR COMPACT 250,SUPERCHEAP AUTO,https://www.supercheapauto.com.au/p/unimig-razor-compact-250-welder/SPO9967507.html?srsltid=AfmBOorPnFK1ogWfWQ199ewoFD7YPjZTKWZ1HHKztYHwNdeVYOYgq5aP,"2,599.00",
Unimig,KUMJR350K-SG,RAZOR COMPACT 350 (OLD),SUPERCHEAP AUTO,https://www.supercheapauto.com.au/p/unimig-razor-350-compact-mig-tig-stick-welder/SPO9967477.html,"3,449.00",
Unimig,KUMJR250SWF,RAZOR 250 SWF,SUPERCHEAP AUTO,,,
Unimig,KUMJR350SWF,RAZOR 350 SWF,SUPERCHEAP AUTO,https://www.supercheapauto.com.au/p/unimig-razor-350-swf-mig-tig-stick-welder/SPO9967381.html?srsltid=AfmBOop55dwpzflAiF-bJvMnWMFI1C107ZQQnEw4iG7tOy5nLugCiHY9 ,"5,099.00",
Unimig,KUMJRRW500SWF,RAZOR 500 SWF,SUPERCHEAP AUTO,,,
Unimig,U12004,RAZOR TIG 200 ACDC WATER COOLER,SUPERCHEAP AUTO,,,
Unimig,U12002K,RAZOR TIG 200 ACDC,SUPERCHEAP AUTO,https://www.supercheapauto.com.au/p/unimig-razor-tig-200-ac-dc-welder/SPO9967387.html ,,
Unimig,U12003K,RAZOR TIG 220 DC,SUPERCHEAP AUTO,,,
Unimig,KUMJRRW320ACDC,RAZOR 320 ACDC,SUPERCHEAP AUTO,https://www.supercheapauto.com.au/p/unimig-razor-320-ac-dc-tig-stick-welder/SPO9967545.html,"4,079.00",
Unimig,U31006,VIPER ARC 140,SUPERCHEAP AUTO,https://www.supercheapauto.com.au/p/unimig-unimig-viper-arc-140-stick-welder/678640.html?utm_content=paidsearch-pmax&gad_source=1&gclid=Cj0KCQiAqL28BhCrARIsACYJvkeIdgSPiF-_8sW1YVls0ER9hMxACePJf6fJWMz3QYanIpEBDkna99AaAtvyEALw_wcB&gclsrc=aw.ds,284.99,
Unimig,U13002K,RAZOR ARC 160 PFC,SUPERCHEAP AUTO,,,
Unimig,KUMJRRW180CA,NOT ANALYSED SUBSEQUENTLY,SUPERCHEAP AUTO,,,
Unimig,U13005,NEW RAZOR ARC 180,SUPERCHEAP AUTO,https://www.supercheapauto.com.au/p/unimig-razor-arc-180-stick-welder/SPO10028517.html,549.00,
Unimig,U13003K,RAZOR ARC 200 PFC,SUPERCHEAP AUTO,https://www.supercheapauto.com.au/p/unimig-razor-arc-140-stick-welder/SPO10028518.html,499.00,
Unimig,U13004,RAZOR ARC 140,SUPERCHEAP AUTO,https://www.supercheapauto.com.au/p/unimig-razor-arc-140-stick-welder/SPO10028518.html,499.00,
Unimig,U14005K,VIPER CUT 30 MK 2,SUPERCHEAP AUTO,https://www.supercheapauto.com.au/p/unimig-unimig-viper-cut-30-plasma-cutter/678409.html,749.00,
Unimig,U14001K,RAZOR CUT 40,SUPERCHEAP AUTO,https://www.supercheapauto.com.au/p/unimig-razor-cut-40-air-plasma-cutter/SPO9967503.html,"2,029.00",
Unimig,U14006K,RAZOR CUT 45,SUPERCHEAP AUTO,https://www.supercheapauto.com.au/p/unimig-razor-cut-45-plasma-cutter/SPO9967413.html,"1,729.00",
Unimig,U14007,RAZOR CUT 45 PLASMA CUTTER AIR COMPRESSOR,SUPERCHEAP AUTO,https://www.supercheapauto.com.au/p/unimig-razor-cut-45-plasma-cutter/SPO9967413.html?srsltid=AfmBOoqDI-_wsxpA3UodY0F9yOXBoUvDCILx_7x-I1o8i9TpOJ-KqHEY,"1,729.00",
Unimig,KUPJRRW80,RAZOR CUT 80,SUPERCHEAP AUTO,https://www.supercheapauto.com.au/p/unimig-razor-cut-80-plasma-cutter/SPO9967500.html,"2,329.00",
Unimig,U14004K,RAZOR CUT 120,SUPERCHEAP AUTO,,,
Unimig,U14004K,RAZOR CUT 160,SUPERCHEAP AUTO,,,
Unimig,KUM27,WORKSHOP 270,SUPERCHEAP AUTO,,,
Unimig,KUM270SWF,WORKSHOP 270 SWF,SUPERCHEAP AUTO,,,
Unimig,KUM390,WORKSHOP 390,SUPERCHEAP AUTO,,,
Unimig,KUM390SWF,WORKSHOP 390 SWF,SUPERCHEAP AUTO,,,
KUM390S/D,WORKSHOP 390 SWF DUAL VOLTAGE,WORKSHOP 390 SWF,SUPERCHEAP AUTO,,,
KUM390S/D,KUM425SWF,WORKSHOP 425 SWF,SUPERCHEAP AUTO,,,
KUM390S/D,U11119,EVOLVE MULTI 400,SUPERCHEAP AUTO,,,
KUM390S/D,U11142,EVOLVE MULTI 500,SUPERCHEAP AUTO,,,
