BRAND,PRODUCT SKU,PRODUCT NAME,Shop Name,PRODUCT LINK,Price,Price_Bundle
Unimig,U11005K,VIPER 135,SYDNEY TOOLS,https://sydneytools.com.au/product/unimig-u11005k-viper-3in1-multi-135-migtigstick-welder,$359.00,
Unimig,U11006K,VIPER 165,SYDNEY TOOLS,https://sydneytools.com.au/product/unimig-u11006k-viper-multi-165-migtigstick-welder  ,$649.00,
Unimig,KUMJRVM185,VIPER 185,SYDNEY TOOLS,https://sydneytools.com.au/product/unimig-kumjrvm185-viper-inverter-185-migtigstick-welder,$979.00,
Unimig,U11011,VIPER 195,SYDNEY TOOLS,https://sydneytools.com.au/product/unimig-u11011-viper-multi-195-max,$1049.00,
Unimig,U11003K,RAZOR 200 PULSE,SYDNEY TOOLS,https://sydneytools.com.au/product/unimig-u11003k-razor-200-pulse-migtigstick-welder-kit,$2699.00,
Unimig,U11004K,RAZOR 230,SYDNEY TOOLS,https://sydneytools.com.au/product/unimig-u11004k-razorweld-4in1-multi-230-acdc-migtigstick-welder,$2295.00,
Unimig,U11007K,RAZOR MULTI 175,SYDNEY TOOLS,https://sydneytools.com.au/product/unimig-u11007k-240v-razor-3in1-multi-175-migtigstick-welder,$995.00,
Unimig,U11012,RAZOR MULTI 200 PFC,SYDNEY TOOLS,https://sydneytools.com.au/product/unimig-u13003k-240v-90kva-razor-arc-200-pfc-welder,$885.00,
Unimig,U11008K,RAZOR MULTI 220,SYDNEY TOOLS,https://sydneytools.com.au/product/unimig-u11008k-240v-razor-3in1-multi-220-migtigstick-welder,$1699.00,
Unimig,U11009K,RAZOR MULTI 250,SYDNEY TOOLS,https://sydneytools.com.au/product/unimig-u11009k-240v-razor-3in1-multi-250-migtigstick-welder,$2289.00,
Unimig,U11010K,RAZOR COMPACT 250,SYDNEY TOOLS,https://sydneytools.com.au/product/unimig-u11010k-240v-razor-compact-3in1-multi-250-migtigstick-welder,$2599.00,
Unimig,KUMJR350K-SG,RAZOR COMPACT 350 (OLD),SYDNEY TOOLS,,,
Unimig,KUMJR250SWF,RAZOR 250 SWF,SYDNEY TOOLS,https://sydneytools.com.au/product/uni-mig-kumjr250swf-mig-tga-mma-250amp-dc-inverter-welder-10572,$4600.00,
Unimig,KUMJR350SWF,RAZOR 350 SWF,SYDNEY TOOLS,https://sydneytools.com.au/product/unimig-350amps-mma-mig-mma-tig-inverter-with-swf,$4699.00,
Unimig,KUMJRRW500SWF,RAZOR 500 SWF,SYDNEY TOOLS,https://sydneytools.com.au/product/unimig-kumjrrw500swf-razor-500-swf-migtigstick-welder,$5825.00,
Unimig,U12004,RAZOR TIG 200 ACDC WATER COOLER,SYDNEY TOOLS,https://sydneytools.com.au/product/unimig-u12004-razor-tig-200-acdc-water-cooler,$1445.00,
Unimig,U12002K,RAZOR TIG 200 ACDC,SYDNEY TOOLS,https://sydneytools.com.au/product/unimig-u12002k-240v-90kva-razor-tig-200-acdc-welder,$2079.00,
Unimig,U12003K,RAZOR TIG 220 DC,SYDNEY TOOLS,https://sydneytools.com.au/product/unimig-u12003k-240v-90kva-razor-tig-220-dc-welder,$1615.00,
Unimig,KUMJRRW320ACDC,RAZOR 320 ACDC,SYDNEY TOOLS,https://sydneytools.com.au/product/unimig-kumjrrw320acdc-razor-320-acdc-tig-welder,$3490.00,
Unimig,U31006,VIPER ARC 140,SYDNEY TOOLS,https://sydneytools.com.au/product/unimig-u31006-viper-arc-140-dc-inverter-welder,$285.00,
Unimig,U13002K,RAZOR ARC 160 PFC,SYDNEY TOOLS,https://sydneytools.com.au/product/unimig-u13002k-240v-90kva-razor-arc-160-pfc-welder,$779.00,
Unimig,KUMJRRW180CA,NOT ANALYSED SUBSEQUENTLY,SYDNEY TOOLS,,,
Unimig,U13005,NEW RAZOR ARC 180,SYDNEY TOOLS,https://sydneytools.com.au/product/unimig-u13005-razor-arc-180-stick-tig-welder,$575.00,
Unimig,U13003K,RAZOR ARC 200 PFC,SYDNEY TOOLS,https://sydneytools.com.au/product/unimig-u13004-razor-arc-140-stick-tig-welder,$519.00,
Unimig,U13004,RAZOR ARC 140,SYDNEY TOOLS,https://sydneytools.com.au/product/unimig-u13004-razor-arc-140-stick-tig-welder,$519.00,
Unimig,U14005K,VIPER CUT 30 MK 2,SYDNEY TOOLS,https://sydneytools.com.au/product/unimig-u14005k-viper-cut-30-mk-ii-plasma-cutter,$699.00,
Unimig,U14001K,RAZOR CUT 40,SYDNEY TOOLS,https://sydneytools.com.au/product/unimig-u14001k-razor-cut-40-air-plasma-cutter,$2009.00,
Unimig,U14006K,RAZOR CUT 45,SYDNEY TOOLS,https://sydneytools.com.au/product/unimig-u14006k-razor-cut-45-plasma-cutter,$1695.00,
Unimig,U14007,RAZOR CUT 45 PLASMA CUTTER AIR COMPRESSOR,SYDNEY TOOLS,https://sydneytools.com.au/product/unimig-u14007-750w-razor-cut-45-air-compressor,$365.00,
Unimig,KUPJRRW80,RAZOR CUT 80,SYDNEY TOOLS,https://sydneytools.com.au/product/unimig-kupjrrw80-razor-cut-80-inverter-plasma-cutter,$1999.00,
Unimig,U14004K,RAZOR CUT 120,SYDNEY TOOLS,,,
Unimig,U14004K,RAZOR CUT 160,SYDNEY TOOLS,,,
Unimig,KUM27,WORKSHOP 270,SYDNEY TOOLS,https://sydneytools.com.au/product/unimig-kum270-270-compact-250-amps-mig-welder-workshop-series,$3905.00,
Unimig,KUM270SWF,WORKSHOP 270 SWF,SYDNEY TOOLS,https://sydneytools.com.au/product/unimig-kum270swf-250-amps-mig-welder-workshop-series,$5179.00,
Unimig,KUM390,WORKSHOP 390,SYDNEY TOOLS,https://sydneytools.com.au/product/unimig-kum390-390-compact-375-amps-mig-welder-workshop-series,$4469.00,
Unimig,KUM390SWF,WORKSHOP 390 SWF,SYDNEY TOOLS,https://sydneytools.com.au/product/unimig-375-amps-390swf-mig-welder-workshop-series,$5654.00,
KUM390S/D,WORKSHOP 390 SWF DUAL VOLTAGE,WORKSHOP 390 SWF,SYDNEY TOOLS,https://sydneytools.com.au/product/unimig-kum390sd-390-swf-dual-375-amps-dual-voltage-mig-welder-workshop-series,$6069.00,
KUM390S/D,KUM425SWF,WORKSHOP 425 SWF,SYDNEY TOOLS,https://sydneytools.com.au/product/unimig-kum425swf-425-swf-400-amps-425swf-mig-welder-workshop-series,$6069.00,
KUM390S/D,U11119,EVOLVE MULTI 400,SYDNEY TOOLS,,,
KUM390S/D,U11142,EVOLVE MULTI 500,SYDNEY TOOLS,https://sydneytools.com.au/product/unimig-u11142-evolve-multi-500-pulse-mig-welder,$12499.00,
