BRAND,PRODUCT SKU,PRODUCT NAME,Shop Name,PRODUCT LINK,Note,BUNDLE LINK,Comment,Price,Price_Bundle
Unimig,U11005K,VIPER 135,TOTAL TOOLS,https://www.totaltools.com.au/195698-unimig-viper-multi-135-mig-tig-stick-welder-u11005k?srsltid=AfmBOoqAlA609D3AedJJKpGhzpFrYHz27IsLASUdzGTEuTnhSe4m-gfq,,,,359,
Unimig,U11006K,VIPER 165,TOTAL TOOLS,https://www.totaltools.com.au/193022-unimig-165-mig-tig-stick-viper-u11006k?srsltid=AfmBOoqkQnwU5KFHYnkJalKZkFQbjIIU_Fg4wqMbn6CYdjgv5MkpWUd5,,,,649,
Unimig,KUMJRVM185,VIPER 185,TOTAL TOOLS,https://www.totaltools.com.au/134294-unimig-viper-185a-mig-tig-stick-multi-process-inverter-welder-kumjrvm185?srsltid=AfmBOooSWVfbIm9R3DMheJF6aHmvdHr8zkm6O5ir0Km4BYiTDmhUEke1,,,,899,
Unimig,U11011,VIPER 195,TOTAL TOOLS,https://www.totaltools.com.au/203415-unimig-viper-multi-195-max-welder-u11011?srsltid=AfmBOoodBtPTCix2rg0wy4a1MWW0vkHs24ZRICYYYisH7onjfoXuZsoX,,,,1049,
Unimig,U11003K,RAZOR 200 PULSE,TOTAL TOOLS,https://www.totaltools.com.au/185907-unimig-razor-200-pulse-mig-tig-stick-electric-welder-u11003k?srsltid=AfmBOoqrl3KFOIxau9Rvl-X_jZpIiIcwiKAofbqrdIxdX8dwYDHF7cGp,,,,2699,
Unimig,U11004K,RAZOR 230,TOTAL TOOLS,https://www.totaltools.com.au/191540-unimig-4-in-1-10a-15a-ac-dc-230a-razor-multi-mig-tig-stick-electric-welder-u11004k?srsltid=AfmBOor5f0UG2OqFB57Q-voVsnPjIEp79OtQp3eDrm57Vn29HlU_lw57,,,,2295,
Unimig,U11007K,RAZOR MULTI 175,TOTAL TOOLS,https://www.totaltools.com.au/200072-unimig-razor-175a-multi-process-3-in-1-welder-u11007k?srsltid=AfmBOopE6qd8orXBMQ8XXABmNFYuJHgeb74xH6EF8vFl3kbz8ZU7s5b8,,,,1095,
Unimig,U11012,RAZOR MULTI 200 PFC,TOTAL TOOLS,https://www.totaltools.com.au/200071-unimig-razor-arc-200-pfc-welder-u13003k?srsltid=AfmBOormMhJXr_qp_SC4F4IcKZhpiD2beexgGLLsqGmvGchiYhdbzqg6,,,,885,
Unimig,U11008K,RAZOR MULTI 220,TOTAL TOOLS,https://www.totaltools.com.au/200073-unimig-razor-multi-220-welder-u11008k?srsltid=AfmBOooF0esceKjJkdPiewaRH4u2hqPuXLBq-qRYr6DAuXUntDfNzck9,,,,1332,
Unimig,U11009K,RAZOR MULTI 250,TOTAL TOOLS,https://www.totaltools.com.au/200074-unimig-razor-multi-250-welder-u11009k?srsltid=AfmBOop2oOrIkniEGhY2s71vl8K_ibQ4YjPSjTN5Bc2lzj5vYKNr0c2u,,,,2289,
Unimig,U11010K,RAZOR COMPACT 250,TOTAL TOOLS,https://www.totaltools.com.au/200075-unimig-razor-compact-250-welder-u11010k?srsltid=AfmBOoodBgBhktWsyH8vMH1m6umpIX_waEw170eP7yV2XMocJo5dM6eA,,,,2599,
Unimig,KUMJR350K-SG,RAZOR COMPACT 350 (OLD),TOTAL TOOLS,https://www.totaltools.com.au/144224-unimig-350a-razor-compact-mig-tig-stick-welder-kumjr350ksg?srsltid=AfmBOorSxinT6Ji22M8eMowfUqypVOnURRB8sP1E5weYtP8ZEAEsbiVD,,,,3445,
Unimig,KUMJR250SWF,RAZOR 250 SWF,TOTAL TOOLS,,,,,,
Unimig,KUMJR350SWF,RAZOR 350 SWF,TOTAL TOOLS,https://www.totaltools.com.au/144224-unimig-350a-razor-compact-mig-tig-stick-welder-kumjr350ksg?srsltid=AfmBOoojxrktQunAZFg65qmahYAQfySLCjYima8yKlKnRlZ6NBrCSuxJ,,,,3445,
Unimig,KUMJRRW500SWF,RAZOR 500 SWF,TOTAL TOOLS,https://www.totaltools.com.au/144225-unimig-500a-razor-swf-mig-tig-stick-welder-kumjr500swf?srsltid=AfmBOoogM28OZzwKWhTdLQYOt54NslPyre8i4f_V99yAzdmXVM-iVtZs,,,,5825,
Unimig,U12004,RAZOR TIG 200 ACDC WATER COOLER,TOTAL TOOLS,https://www.totaltools.com.au/205889-unimig-200-acdc-razor-tig-water-cooler-u12004?srsltid=AfmBOooctPuJYy61FKOfnOgjxh78yXLc5Hmtl2QCfRzJvqRgXMgY_Zzq,,,,1445,
