BRAND,PRODUCT SKU,PRODUCT NAME,Shop Name,PRODUCT LINK,Price,Price_Bundle
Unimig,U11005K,VIPER 135,WA INDUSTRIAL SUPPLIES WEBSITE,https://www.waindustrialsupplies.net/product/viper-multi-135-mig-tig-stick-welder/301?cp=true&sa=false&sbp=false&q=true,A$399.00,
Unimig,U11006K,VIPER 165,WA INDUSTRIAL SUPPLIES WEBSITE,https://www.waindustrialsupplies.net/product/viper-multi-165-mig-tig-stick-welder/292?cp=true&sa=false&sbp=false&q=true,A$729.00,
Unimig,KUMJRVM185,VIPER 185,WA INDUSTRIAL SUPPLIES WEBSITE,https://www.waindustrialsupplies.net/product/viper-185-mig-tig-stick-welder/295,A$940.00,
Unimig,U11011,VIPER 195,WA INDUSTRIAL SUPPLIES WEBSITE,https://www.waindustrialsupplies.net/product/viper-multi-195-max-mig-tig-stick-welder/283?cp=true&sa=false&sbp=false&q=true ,"A$1,245.00",
Unimig,U11003K,RAZOR 200 PULSE,WA INDUSTRIAL SUPPLIES WEBSITE,https://www.waindustrialsupplies.net/product/razor-200-pulse-mig-tig-stick-welder/284 ,"A$2,690.00",
Unimig,U11004K,RAZOR 230,WA INDUSTRIAL SUPPLIES WEBSITE,https://www.waindustrialsupplies.net/product/razor-multi-230-ac-dc-mig-tig-stick-welder/282,"A$2,395.00",
Unimig,U11007K,RAZOR MULTI 175,WA INDUSTRIAL SUPPLIES WEBSITE,https://www.waindustrialsupplies.net/product/razor-multi-175-mig-tig-stick-welder/296,"A$1,299.00",
UPTO HERE,U11012,RAZOR MULTI 200 PFC,WA INDUSTRIAL SUPPLIES WEBSITE,,,
UPTO HERE,U11008K,RAZOR MULTI 220,WA INDUSTRIAL SUPPLIES WEBSITE,https://www.waindustrialsupplies.net/product/razor-multi-220-mig-tig-stick-welder/286?cp=true&sa=false&sbp=false&q=true,"A$1,599.00",
UPTO HERE,U11009K,RAZOR MULTI 250,WA INDUSTRIAL SUPPLIES WEBSITE,https://www.waindustrialsupplies.net/product/razor-multi-250-mig-tig-stick-welder/288?cp=true&sa=false&sbp=false&q=true,"A$2,199.00",
UPTO HERE,U11010K,RAZOR COMPACT 250,WA INDUSTRIAL SUPPLIES WEBSITE,,,
UPTO HERE,KUMJR350K-SG,RAZOR COMPACT 350 (OLD),WA INDUSTRIAL SUPPLIES WEBSITE,https://www.waindustrialsupplies.net/product/razor-350-compact-mig-tig-stick-welder/289,"A$3,310.00",
UPTO HERE,KUMJR250SWF,RAZOR 250 SWF,WA INDUSTRIAL SUPPLIES WEBSITE,https://www.waindustrialsupplies.net/product/razor-250-swf-mig-tig-stick-welder/375,"A$4,600.00",
UPTO HERE,KUMJR350SWF,RAZOR 350 SWF,WA INDUSTRIAL SUPPLIES WEBSITE,https://www.waindustrialsupplies.net/product/razor-350-swf-mig-tig-stick-welder/291,"A$4,890.00",
UPTO HERE,KUMJRRW500SWF,RAZOR 500 SWF,WA INDUSTRIAL SUPPLIES WEBSITE,,,
UPTO HERE,U12004,RAZOR TIG 200 ACDC WATER COOLER,WA INDUSTRIAL SUPPLIES WEBSITE,,,
UPTO HERE,U12002K,RAZOR TIG 200 ACDC,WA INDUSTRIAL SUPPLIES WEBSITE,,,
UPTO HERE,U12003K,RAZOR TIG 220 DC,WA INDUSTRIAL SUPPLIES WEBSITE,https://www.waindustrialsupplies.net/product/razor-tig-220-dc-welder/298?cp=true&sa=false&sbp=false&q=false&category_id=18,"A$1,549.00",
UPTO HERE,KUMJRRW320ACDC,RAZOR 320 ACDC,WA INDUSTRIAL SUPPLIES WEBSITE,https://www.waindustrialsupplies.net/product/razor-320-ac-dc-tig-welder/297,"A$3,915.00",
UPTO HERE,U31006,VIPER ARC 140,WA INDUSTRIAL SUPPLIES WEBSITE,https://www.waindustrialsupplies.net/product/viper-arc-140-stick-tig-welder/302,A$285.00,
UPTO HERE,U13002K,RAZOR ARC 160 PFC,WA INDUSTRIAL SUPPLIES WEBSITE,,,
UPTO HERE,KUMJRRW180CA,NOT ANALYSED SUBSEQUENTLY,WA INDUSTRIAL SUPPLIES WEBSITE,,,
UPTO HERE,U13005,NEW RAZOR ARC 180,WA INDUSTRIAL SUPPLIES WEBSITE,,,
UPTO HERE,U13003K,RAZOR ARC 200 PFC,WA INDUSTRIAL SUPPLIES WEBSITE,https://www.waindustrialsupplies.net/product/razor-arc-200-pfc-welder/300?cp=true&sa=false&sbp=false&q=false&category_id=15,A$849.00,
UPTO HERE,U13004,RAZOR ARC 140,WA INDUSTRIAL SUPPLIES WEBSITE,,,
UPTO HERE,U14005K,VIPER CUT 30 MK 2,WA INDUSTRIAL SUPPLIES WEBSITE,,,
UPTO HERE,U14001K,RAZOR CUT 40,WA INDUSTRIAL SUPPLIES WEBSITE,,,
UPTO HERE,U14006K,RAZOR CUT 45,WA INDUSTRIAL SUPPLIES WEBSITE,https://www.waindustrialsupplies.net/product/razor-cut-45-plasma-cutter/310,"A$1,649.00",
UPTO HERE,U14007,RAZOR CUT 45 PLASMA CUTTER AIR COMPRESSOR,WA INDUSTRIAL SUPPLIES WEBSITE,,,
UPTO HERE,KUPJRRW80,RAZOR CUT 80,WA INDUSTRIAL SUPPLIES WEBSITE,https://www.waindustrialsupplies.net/product/razor-cut-80-plasma-cutter/308,"A$2,215.00",
UPTO HERE,U14004K,RAZOR CUT 120,WA INDUSTRIAL SUPPLIES WEBSITE,https://www.waindustrialsupplies.net/product/razor-cut-120-plasma-cutter/309?cp=true&sa=false&sbp=false&q=false&category_id=24,"A$4,045.00",
UPTO HERE,U14004K,RAZOR CUT 160,WA INDUSTRIAL SUPPLIES WEBSITE,,,
UPTO HERE,KUM27,WORKSHOP 270,WA INDUSTRIAL SUPPLIES WEBSITE,,,
UPTO HERE,KUM270SWF,WORKSHOP 270 SWF,WA INDUSTRIAL SUPPLIES WEBSITE,,,
UPTO HERE,KUM390,WORKSHOP 390,WA INDUSTRIAL SUPPLIES WEBSITE,,,
UPTO HERE,KUM390SWF,WORKSHOP 390 SWF,WA INDUSTRIAL SUPPLIES WEBSITE,https://www.waindustrialsupplies.net/product/workshop-390-swf-mig-welder/306,"A$5,654.00",
KUM390S/D,WORKSHOP 390 SWF DUAL VOLTAGE,WORKSHOP 390 SWF,WA INDUSTRIAL SUPPLIES WEBSITE,,,
KUM390S/D,KUM425SWF,WORKSHOP 425 SWF,WA INDUSTRIAL SUPPLIES WEBSITE,,,
KUM390S/D,U11119,EVOLVE MULTI 400,WA INDUSTRIAL SUPPLIES WEBSITE,,,
KUM390S/D,U11142,EVOLVE MULTI 500,WA INDUSTRIAL SUPPLIES WEBSITE,,,
