BRAND,PRODUCT SKU,PRODUCT NAME,Shop Name,PRODUCT LINK,Note,BUNDLE LINK,Comment,Price,Price_Bundle
Unimig,U11011,VIPER 195,WELD.COM.AU,https://www.weld.com.au/product/viper-multi-195-max-welder/?v=6502139931c4,,,,"1,499.00",
Unimig,U11007K,RAZOR MULTI 175,WELD.COM.AU,https://www.weld.com.au/product/unimig-razor-multi-175/?v=6502139931c4,,,,"1,669.00",
Unimig,U11008K,RAZOR MULTI 220,WELD.COM.AU,,,,,,
Unimig,U11009K,RAZOR MULTI 250,WELD.COM.AU,,,,,,
Unimig,U11010K,RAZOR COMPACT 250,WELD.COM.AU,https://www.weld.com.au/product/unimig-razor-compact-250-welder/?v=6502139931c4,,,,"2,599.00",
Unimig,KUMJR350K-SG,RAZOR COMPACT 350 (OLD),WELD.COM.AU,https://www.weld.com.au/product/unimig-razor-350-compact/,,,,"3,445.00",
Unimig,KUMJR250SWF,RAZOR 250 SWF,WELD.COM.AU (ARC-I),https://www.weld.com.au/product/unimig-razor-250-swf/?v=6502139931c4,,,,"4,400.00",
Unimig,KUMJR350SWF,RAZOR 350 SWF,WELD.COM.AU,https://www.weld.com.au/product/unimig-razor-350-swf/,,,,"4,890.00",
Unimig,KUMJRRW500SWF,RAZOR 500 SWF,WELD.COM.AU,https://www.weld.com.au/product/unimig-razor-500-swf/,,,,"5,600.00",
Unimig,U12004,RAZOR TIG 200 ACDC WATER COOLER,WELD.COM.AU,,,,,,
Unimig,NATIONAL WELDING IS CHEAPER,RAZOR TIG 200 ACDC,WELD.COM.AU,https://www.weld.com.au/product/unimig-razor-200-ac-dc-welder/,,,,"2,079.00",
Unimig,U12003K,RAZOR TIG 220 DC,WELD.COM.AU,,,,,,
Unimig,KUMJRRW320ACDC,RAZOR 320 ACDC,WELD.COM.AU,,,,,,
Unimig,U31006,VIPER ARC 140,WELD.COM.AU,https://www.weld.com.au/product/unimig-viper-arc-140-stick-welder/,,,,285.00,
Unimig,U13002K,RAZOR ARC 160 PFC,WELD.COM.AU,,,,,,
Unimig,KUMJRRW180CA,NOT ANALYSED SUBSEQUENTLY,WELD.COM.AU,,,,,,
Unimig,U13005,NEW RAZOR ARC 180,WELD.COM.AU,https://www.weld.com.au/product/unimig-razor-arc-180-welder/,,,,575.00,
Unimig,U13003K,RAZOR ARC 200 PFC,WELD.COM.AU,,,,,,
Unimig,U13004,RAZOR ARC 140,WELD.COM.AU,,,,,,
Unimig,U14005K,VIPER CUT 30 MK 2,WELD.COM.AU,,,,,,
Unimig,U14001K,RAZOR CUT 40,WELD.COM.AU,,,,,,
Unimig,U14006K,RAZOR CUT 45,WELD.COM.AU,https://www.weld.com.au/product/unimig-razorcut-45-plasma-cutter-new-model/?v=6502139931c4,,,,"1,649.00",
Unimig,U14007,RAZOR CUT 45 PLASMA CUTTER AIR COMPRESSOR,WELD.COM.AU,https://www.weld.com.au/product/unimig-razorcut-45-plasma-cutter-air-compressor/,,,,350.00,
Unimig,KUPJRRW80,RAZOR CUT 80,WELD.COM.AU,https://www.weld.com.au/product/unimig-razorcut-80-plasma-cutter/,,,,"2,215.00",
Unimig,U14004K,RAZOR CUT 120,WELD.COM.AU,,,,,,
Unimig,U14004K,RAZOR CUT 160,WELD.COM.AU,,,,,,
Unimig,KUM27,WORKSHOP 270,WELD.COM.AU,,,,,,
Unimig,KUM270SWF,WORKSHOP 270 SWF,WELD.COM.AU,,,,,,
Unimig,KUM390,WORKSHOP 390,WELD.COM.AU,,,,,,
Unimig,KUM390SWF,WORKSHOP 390 SWF,WELD.COM.AU,,,,,,
KUM390S/D,WORKSHOP 390 SWF DUAL VOLTAGE,WORKSHOP 390 SWF,WELD.COM.AU,,,,,,
KUM390S/D,KUM425SWF,WORKSHOP 425 SWF,WELD.COM.AU,,,,,,
KUM390S/D,U11119,EVOLVE MULTI 400,WELD.COM.AU,,,,,,
