BRAND,PRODUCT SKU,PRODUCT NAME,Shop Name,PRODUCT LINK,Price,Price_Bundle
Unimig,U11005K,VIPER 135,WELDQUIP,,,
Unimig,U11006K,VIPER 165,WELDQUIP,https://www.weldquip.com.au/unimig-viper-multi-165-mig-tig-stick-welder,"1,397.99",
Unimig,KUMJRVM185,VIPER 185,WELDQUIP,,,
Unimig,U11011,VIPER 195,WELDQUIP,,,
Unimig,U11003K,RAZOR 200 PULSE,WELDQUIP,,,
Unimig,U11004K,RAZOR 230,WELDQUIP,https://www.weldquip.com.au/unimig-razor-multi-230-ac-dc-mig-tig-stick-welder,"2,634.50",
Unimig,U11007K,RAZOR MULTI 175,WELDQUIP,,,
Unimig,U11012,RAZOR MULTI 200 PFC,WELDQUIP,,,
Unimig,U11008K,RAZOR MULTI 220,WELDQUIP,,,
Unimig,U11009K,RAZOR MULTI 250,WELDQUIP,,,
Unimig,U11010K,RAZOR COMPACT 250,WELDQUIP,,,
Unimig,KUMJR350K-SG,RAZOR COMPACT 350 (OLD),WELDQUIP,,,
Unimig,KUMJR250SWF,RAZOR 250 SWF,WELDQUIP,,,
Unimig,KUMJR350SWF,RAZOR 350 SWF,WELDQUIP,,,
Unimig,KUMJRRW500SWF,RAZOR 500 SWF,WELDQUIP,,,
Unimig,U12004,RAZOR TIG 200 ACDC WATER COOLER,WELDQUIP,,,
Unimig,U12002K,RAZOR TIG 200 ACDC,WELDQUIP,,,
Unimig,U12003K,RAZOR TIG 220 DC,WELDQUIP,,,
Unimig,KUMJRRW320ACDC,RAZOR 320 ACDC,WELDQUIP,,,
Unimig,U31006,VIPER ARC 140,WELDQUIP,,,
Unimig,U13002K,RAZOR ARC 160 PFC,WELDQUIP,,,
Unimig,KUMJRRW180CA,NOT ANALYSED SUBSEQUENTLY,WELDQUIP,,,
Unimig,U13005,NEW RAZOR ARC 180,WELDQUIP,,,
Unimig,U13003K,RAZOR ARC 200 PFC,WELDQUIP,,,
Unimig,U13004,RAZOR ARC 140,WELDQUIP,,,
Unimig,U14005K,VIPER CUT 30 MK 2,WELDQUIP,,,
Unimig,U14001K,RAZOR CUT 40,WELDQUIP,,,
Unimig,U14006K,RAZOR CUT 45,WELDQUIP,,,
Unimig,U14007,RAZOR CUT 45 PLASMA CUTTER AIR COMPRESSOR,WELDQUIP,,,
Unimig,KUPJRRW80,RAZOR CUT 80,WELDQUIP,https://www.weldquip.com.au/unimig-razortm-cut-80-plasma-cutter,"2,420.00",
Unimig,U14004K,RAZOR CUT 120,WELDQUIP,,,
Unimig,U14004K,RAZOR CUT 160,WELDQUIP,,,
Unimig,KUM27,WORKSHOP 270,WELDQUIP,,,
Unimig,KUM270SWF,WORKSHOP 270 SWF,WELDQUIP,,,
Unimig,KUM390,WORKSHOP 390,WELDQUIP,,,
Unimig,KUM390SWF,WORKSHOP 390 SWF,WELDQUIP,,,
KUM390S/D,WORKSHOP 390 SWF DUAL VOLTAGE,WORKSHOP 390 SWF,WELDQUIP,,,
KUM390S/D,KUM425SWF,WORKSHOP 425 SWF,WELDQUIP,,,
KUM390S/D,U11119,EVOLVE MULTI 400,WELDQUIP,,,
KUM390S/D,U11142,EVOLVE MULTI 500,WELDQUIP,,,
