BRAND,PRODUCT SKU,PRODUCT NAME,Shop Name,PRODUCT LINK,Price,Price_Bundle
Unimig,U11006K,VIPER 165,HARE AND FORBES,https://www.machineryhouse.com.au/w2442,,
Unimig,KUMJRVM185,VIPER 185,HARE AND FORBES,https://www.machineryhouse.com.au/w243,,
Unimig,KUMJRVM185,VIPER 185,HARE AND FORBES,https://www.machineryhouse.com.au/w243,,
Unimig,U11011,VIPER 195,HARE AND FORBES,https://www.machineryhouse.com.au/w2431,,
Unimig,U11011,VIPER 195,HARE AND FORBES,https://www.machineryhouse.com.au/w2431,,
Unimig,U11003K,RAZOR 200 PULSE,HARE AND FORBES,https://www.machineryhouse.com.au/w194,,
Unimig,U11004K,RAZOR 230,HARE AND FORBES,https://www.machineryhouse.com.au/w168,,
Unimig,U11007K,RAZOR MULTI 175,HARE AND FORBES,https://www.machineryhouse.com.au/w1771,,
UPTO HERE,U11012,RAZOR MULTI 200 PFC,HARE AND FORBES,,,
UPTO HERE,U11008K,RAZOR MULTI 220,HARE AND FORBES,https://www.machineryhouse.com.au/w1786,,
UPTO HERE,U11009K,RAZOR MULTI 250,HARE AND FORBES,https://www.machineryhouse.com.au/w1791,,
UPTO HERE,U11010K,RAZOR COMPACT 250,HARE AND FORBES,https://www.machineryhouse.com.au/w1821,,
UPTO HERE,KUMJR350K-SG,RAZOR COMPACT 350 (OLD),HARE AND FORBES,https://www.machineryhouse.com.au/w183,,
UPTO HERE,KUMJR250SWF,RAZOR 250 SWF,HARE AND FORBES,https://www.machineryhouse.com.au/w186,,
UPTO HERE,KUMJR350SWF,RAZOR 350 SWF,HARE AND FORBES,https://www.machineryhouse.com.au/w187,,
UPTO HERE,KUMJRRW500SWF,RAZOR 500 SWF,HARE AND FORBES,https://www.machineryhouse.com.au/w253b,,
UPTO HERE,U12004,RAZOR TIG 200 ACDC WATER COOLER,HARE AND FORBES,,,
UPTO HERE,U12002K,RAZOR TIG 200 ACDC,HARE AND FORBES,https://www.machineryhouse.com.au/w1722,,
UPTO HERE,U12003K,RAZOR TIG 220 DC,HARE AND FORBES,https://www.machineryhouse.com.au/w1636,,
UPTO HERE,KUMJRRW320ACDC,RAZOR 320 ACDC,HARE AND FORBES,https://www.machineryhouse.com.au/w176,,
UPTO HERE,U31006,VIPER ARC 140,HARE AND FORBES,https://www.machineryhouse.com.au/W165?utm_source=google&utm_medium=shopping&utm_campaign=MHAU_Google_16June2023_PerformanceMax_BAU&utm_content=W165&gad_source=1&gclid=Cj0KCQiAqL28BhCrARIsACYJvkeCorjxmjij3reAQnvuB_xEi17UOQj6zfnBWnq-OsBfBW7Gk1-VF_saAtmoEALw_wcB,,
UPTO HERE,U13002K,RAZOR ARC 160 PFC,HARE AND FORBES,,,
UPTO HERE,KUMJRRW180CA,RAZOR ARC 180,HARE AND FORBES,https://www.machineryhouse.com.au/w1645,,
UPTO HERE,U13005,NEW RAZOR ARC 180,HARE AND FORBES,https://bilba.com.au/products/unimig-razorweld-arc-180-dc-welding-machine?srsltid=AfmBOoqxB9-Z5cw4l9fRnhQyrrHDhgilWlqmjtjfZMe_D0J8ZVex0GIQ,,
UPTO HERE,U13003K,RAZOR ARC 200 PFC,HARE AND FORBES,https://www.machineryhouse.com.au/w167,,
UPTO HERE,U13004,RAZOR ARC 140,HARE AND FORBES,,,
UPTO HERE,U14005K,VIPER CUT 30 MK 2,HARE AND FORBES,https://www.machineryhouse.com.au/c4212,,
UPTO HERE,U14001K,RAZOR CUT 40,HARE AND FORBES,https://www.machineryhouse.com.au/c4203,,
UPTO HERE,U14006K,RAZOR CUT 45,HARE AND FORBES,https://www.machineryhouse.com.au/c4231,,
UPTO HERE,U14007,RAZOR CUT 45 PLASMA CUTTER AIR COMPRESSOR,HARE AND FORBES,,,
UPTO HERE,KUPJRRW80,RAZOR CUT 80,HARE AND FORBES,https://www.machineryhouse.com.au/c429,,
UPTO HERE,U14004K,RAZOR CUT 120,HARE AND FORBES,https://www.machineryhouse.com.au/c431,,
UPTO HERE,U14004K,RAZOR CUT 160,HARE AND FORBES,,,
UPTO HERE,KUM27,WORKSHOP 270,HARE AND FORBES,https://www.machineryhouse.com.au/w250,,
UPTO HERE,KUM270SWF,WORKSHOP 270 SWF,HARE AND FORBES,https://www.machineryhouse.com.au/w249,,
UPTO HERE,KUM390,WORKSHOP 390,HARE AND FORBES,https://www.machineryhouse.com.au/w252,,
UPTO HERE,KUM390SWF,WORKSHOP 390 SWF,HARE AND FORBES,https://www.machineryhouse.com.au/w253,,
KUM390S/D,WORKSHOP 390 SWF DUAL VOLTAGE,WORKSHOP 390 SWF,HARE AND FORBES,,,
KUM390S/D,KUM425SWF,WORKSHOP 425 SWF,HARE AND FORBES,https://www.machineryhouse.com.au/w253a,,
KUM390S/D,U11119,EVOLVE MULTI 400,HARE AND FORBES,,,
KUM390S/D,U11142,EVOLVE MULTI 500,HARE AND FORBES,,,
